Gene,Predicted Label,Probability
TP53,[1],[1.]
BRAF,[1],[1.]
TTN,[1],[1.]
PIK3CA,[1],[1.]
MUC16,[1],[1.]
PTEN,[1],[1.]
APC,[1],[1.]
KRAS,[1],[0.9999999]
SYNE1,[1],[0.99999976]
ARID1A,[1],[0.9999994]
KMT2D,[1],[0.9999993]
KMT2C,[1],[0.9999989]
CTNNB1,[1],[0.9999987]
CDH1,[1],[0.9999974]
DST,[1],[0.9999944]
FAT1,[1],[0.9999933]
PBRM1,[1],[0.9999777]
OBSCN,[1],[0.99994254]
RYR2,[1],[0.99991584]
FBXW7,[1],[0.999902]
LRP1B,[1],[0.9998692]
VHL,[1],[0.9998568]
FAT4,[1],[0.999838]
MAP3K1,[1],[0.9998258]
GATA3,[1],[0.99981445]
MACF1,[1],[0.99979204]
SPTA1,[1],[0.9997868]
NOTCH1,[1],[0.9997805]
PCLO,[1],[0.99964356]
ATM,[1],[0.9996327]
LRP2,[1],[0.99962676]
EP300,[1],[0.9993999]
DMD,[1],[0.99927]
PIK3R1,[1],[0.9992151]
EEF1A1,[1],[0.9991116]
APOB,[1],[0.99908996]
CREBBP,[1],[0.998899]
KMT2A,[1],[0.99885225]
ACTB,[1],[0.99871397]
HUWE1,[1],[0.99850875]
ZFHX3,[1],[0.9984548]
NRAS,[1],[0.9984471]
SETD2,[1],[0.9983646]
SPOP,[1],[0.9981013]
AHNAK,[1],[0.9980615]
HRAS,[1],[0.9980336]
SYNE2,[1],[0.9979448]
USH2A,[1],[0.9973876]
SMAD4,[1],[0.9969791]
USP9X,[1],[0.9965849]
UBR4,[1],[0.99650264]
NEB,[1],[0.99598086]
LRRK2,[1],[0.9959097]
PLEC,[1],[0.9951702]
ANK3,[1],[0.9946689]
CHD4,[1],[0.9943709]
PRKDC,[1],[0.99410796]
CTCF,[1],[0.994024]
ERBB4,[1],[0.99397624]
TRIO,[1],[0.9937738]
KMT2B,[1],[0.9934453]
FAT3,[1],[0.99325436]
KDM6A,[1],[0.9932106]
RYR1,[1],[0.99316627]
NCOR1,[1],[0.992961]
PCDH15,[1],[0.9926645]
MUC4,[1],[0.9926636]
PDE4D,[1],[0.99260545]
MT-CO3,[1],[0.99252033]
RYR3,[1],[0.9922151]
TNRC6A,[1],[0.99203146]
ANK2,[1],[0.99152046]
RNF213,[1],[0.9914574]
MDN1,[1],[0.9912374]
SPEN,[1],[0.9909266]
FBN1,[1],[0.990901]
NF1,[1],[0.9908682]
ATRX,[1],[0.9908064]
MYH9,[1],[0.9906343]
DNAH11,[1],[0.9903875]
AKAP9,[1],[0.99030125]
RIMS2,[1],[0.99020517]
TRPS1,[1],[0.9893714]
SOX9,[1],[0.98925066]
HSPG2,[1],[0.9890497]
HSP90AB1,[1],[0.98847115]
COL12A1,[1],[0.98833525]
STAG2,[1],[0.98795706]
PDE3A,[1],[0.98791134]
WDFY3,[1],[0.98785293]
MYCBP2,[1],[0.9874335]
MAP2,[1],[0.98741895]
COL11A1,[1],[0.98678106]
