Gene,Predicted Label,Probability
TEAD1,[1],[1.]
VMP1,[1],[1.]
NRAS,[1],[1.]
KMT2D,[1],[1.]
CTCF,[1],[1.]
ARID1A,[1],[1.]
TFPT,[1],[1.]
HSP90AB1,[1],[1.]
TBL1XR1,[1],[1.]
STAG1,[1],[1.]
VHL,[1],[1.]
ACTB,[1],[1.]
TRIO,[1],[1.]
TTN,[1],[1.]
NEB,[1],[1.]
RPS29,[1],[1.]
APOB,[1],[1.]
VEGFC,[1],[1.]
CREBBP,[1],[1.]
ZNF521,[1],[1.]
TSC1,[1],[1.]
TRAF6,[1],[1.]
SPTA1,[1],[1.]
XRCC6,[1],[1.]
SPOP,[1],[1.]
CDH1,[1],[1.]
PTEN,[1],[1.]
ZNRF3,[1],[1.]
ST6GALNAC3,[1],[1.]
OBSCN,[1],[1.]
ATM,[1],[1.]
TNFRSF14,[1],[1.]
PBRM1,[1],[1.]
SIPA1L1,[1],[1.]
USF2,[1],[1.]
LRRK2,[1],[1.]
FOXA1,[1],[1.]
ZCCHC8,[1],[1.]
MAP3K1,[1],[1.]
UBR5,[1],[1.]
TP53,[1],[1.]
ZNF638,[1],[1.]
STAG2,[1],[1.]
VTI1A,[1],[1.]
AKT1,[1],[1.]
MUC16,[1],[1.]
MUC4,[1],[1.]
SETD2,[1],[1.]
ZNF7,[1],[1.]
TRPS1,[1],[1.]
ZNF384,[1],[1.]
MACF1,[1],[1.]
ZFR,[1],[1.]
WAS,[1],[1.]
KMT2C,[1],[1.]
FBN2,[1],[1.]
XRCC3,[1],[1.]
VIM,[1],[1.]
COL11A1,[1],[1.]
TFEB,[1],[1.]
XPO1,[1],[1.]
SOX9,[1],[1.]
PCLO,[1],[1.]
GATA3,[1],[1.]
ZMYM2,[1],[1.]
UGT1A8,[1],[1.]
UTRN,[1],[1.]
NF1,[1],[1.]
BRAF,[1],[1.]
TDGF1,[1],[1.]
PRKDC,[1],[1.]
RYR2,[1],[1.]
LRP1B,[1],[1.]
ZNF496,[1],[1.]
TGFBR2,[1],[1.]
APC,[1],[1.]
FGF10,[1],[1.]
USP9X,[1],[1.]
WWTR1,[1],[1.]
WDR48,[1],[1.]
TCL1A,[1],[1.]
YWHAE,[1],[1.]
ZFYVE16,[1],[1.]
ACTG1,[1],[1.]
FAT4,[1],[1.]
TSPAN33,[1],[1.]
SYK,[1],[1.]
CASP8,[1],[1.]
EEF1A1,[1],[1.]
HMGA1,[1],[1.]
WNK2,[1],[1.]
RUNX1,[1],[1.]
TNRC6A,[1],[1.]
TSC2,[1],[1.]
SPEN,[1],[1.]
EP300,[1],[1.]
PDE4D,[1],[1.]
FAT1,[1],[1.]
PIK3CA,[1],[1.]
PDE3A,[1],[1.]
KMT2A,[1],[1.]
TNF,[1],[1.]
FBXW7,[1],[1.]
KRAS,[1],[1.]
PTPN14,[1],[1.]
TGFA,[1],[1.]
