Gene,Predicted Label,Probability
ACSS2,[1],[1.]
ATP6V0A2,[1],[1.]
BLOC1S4,[1],[1.]
MARVELD3,[1],[0.9999999]
ASPM,[1],[0.99999976]
ACADS,[1],[0.99999976]
CBX3,[1],[0.9999981]
DUT,[1],[0.999998]
AMER1,[1],[0.99999726]
NMRK1,[1],[0.99999464]
COPS7B,[1],[0.9999864]
A1CF,[1],[0.999985]
FLT4,[1],[0.9999838]
ACER2,[1],[0.9999802]
IL1RAP,[1],[0.99997807]
ALG10,[1],[0.99997723]
CYP17A1,[1],[0.9999771]
ARHGEF9,[1],[0.999977]
DPF2,[1],[0.9999715]
ACP5,[1],[0.9999484]
DUSP2,[1],[0.99990356]
HABP2,[1],[0.9998925]
CCT2,[1],[0.9998777]
HSD17B1,[1],[0.9997882]
MASTL,[1],[0.99978167]
DDX24,[1],[0.9997775]
NDUFB1,[1],[0.999728]
ALB,[1],[0.99972147]
TCL1A,[1],[0.9997038]
TRAPPC2,[1],[0.9996952]
CLU,[1],[0.99961436]
EREG,[1],[0.99950373]
PPCS,[1],[0.9992692]
KIF15,[1],[0.99918205]
B3GALT4,[1],[0.9989574]
GALNT6,[1],[0.99868387]
DDX5,[1],[0.99850404]
ALDH1A2,[1],[0.99837685]
FBXL22,[1],[0.9981364]
ZNF335,[1],[0.9981108]
KXD1,[1],[0.9979353]
GLO1,[1],[0.9977977]
BATF3,[1],[0.9972434]
PPP1R18,[1],[0.99676824]
ADAMTSL2,[1],[0.99665195]
ATXN2,[1],[0.99653035]
KCNJ5,[1],[0.99634594]
FAU,[1],[0.9959105]
CNN2,[1],[0.9952361]
ARHGEF12,[1],[0.9947338]
PTGS2,[1],[0.9946293]
RPRD1B,[1],[0.99383754]
ITCH,[1],[0.9936027]
MGA,[1],[0.9926847]
NAA50,[1],[0.9921893]
GDI2,[1],[0.991833]
PDPR,[1],[0.99179345]
CA2,[1],[0.9916917]
COL25A1,[1],[0.99157715]
WRNIP1,[1],[0.99134797]
CDCA7,[1],[0.9904573]
ERBB4,[1],[0.9903989]
ALOX5,[1],[0.99008626]
DDIT4,[1],[0.9888182]
HM13,[1],[0.9887243]
FLNB,[1],[0.9883807]
GPI,[1],[0.98767227]
RBPMS,[1],[0.98688847]
BOC,[1],[0.9866824]
HDLBP,[1],[0.9863972]
SUGT1,[1],[0.9863738]
BNIP2,[1],[0.986024]
UHRF1,[1],[0.98510724]
CCNE1,[1],[0.9849428]
ANGPT1,[1],[0.9847851]
CYTH2,[1],[0.98460096]
CD52,[1],[0.9844557]
SKIL,[1],[0.98422825]
GALNT1,[1],[0.9827732]
FGF8,[1],[0.98158574]
RRAS2,[1],[0.9812656]
TGM2,[1],[0.9804571]
TXNL4A,[1],[0.98021346]
ATP1A1,[1],[0.9789218]
DTX4,[1],[0.9787412]
NCAPD2,[1],[0.97795814]
CHD4,[1],[0.97781]
CD226,[1],[0.97775525]
SMAD2,[1],[0.97492]
DLX1,[1],[0.9743011]
COX6C,[1],[0.9729558]
FOLH1,[1],[0.97281647]
STAT5B,[1],[0.9727854]
MLLT10,[1],[0.97154665]
CLEC2D,[1],[0.97119886]
PLCB1,[1],[0.9711311]
PDE10A,[1],[0.97044253]
AUTS2,[1],[0.968472]
CCNB3,[1],[0.9666821]
