Gene,Predicted Label,Probability
ARID1A,[1],[1.]
CTNNB1,[1],[1.]
BRAF,[1],[1.]
PIK3CA,[1],[1.]
CDH1,[1],[1.]
MUC16,[1],[1.]
TTN,[1],[1.]
APC,[1],[1.]
KRAS,[1],[1.]
MAP3K1,[1],[1.]
SYNE1,[1],[1.]
PTEN,[1],[1.]
TP53,[1],[1.]
VHL,[1],[1.]
PBRM1,[1],[1.]
SPOP,[1],[1.]
GATA3,[1],[0.9999999]
FAT1,[1],[0.99999976]
KMT2C,[1],[0.99999964]
DST,[1],[0.99999917]
NOTCH1,[1],[0.9999987]
ZFHX3,[1],[0.99999857]
NRAS,[1],[0.9999982]
SPTA1,[1],[0.99999774]
PIK3R1,[1],[0.9999974]
KMT2D,[1],[0.999997]
OBSCN,[1],[0.99999046]
EEF1A1,[1],[0.99998295]
MACF1,[1],[0.9999757]
FBXW7,[1],[0.99996924]
RYR2,[1],[0.9999511]
LRP1B,[1],[0.99991715]
PCLO,[1],[0.99991715]
FAT4,[1],[0.9998783]
SETD2,[1],[0.99987745]
UBR4,[1],[0.9998754]
CTCF,[1],[0.99986005]
LRP2,[1],[0.9998503]
SOX9,[1],[0.9998122]
TRIO,[1],[0.9997285]
USH2A,[1],[0.9996675]
APOB,[1],[0.9996439]
YWHAE,[1],[0.999584]
ATM,[1],[0.99942625]
KMT2A,[1],[0.9994043]
ZMIZ1,[1],[0.9992574]
TUBB,[1],[0.9991959]
HRAS,[1],[0.99919564]
ZNF462,[1],[0.9989089]
USP9X,[1],[0.9988745]
WDFY3,[1],[0.99884003]
SPEN,[1],[0.99883455]
TUBA1B,[1],[0.9988048]
ZBTB8OS,[1],[0.99878925]
KMT2B,[1],[0.9986345]
SYNE2,[1],[0.99847347]
UBC,[1],[0.9983949]
UBR5,[1],[0.99830353]
KDM6A,[1],[0.9982765]
XRCC5,[1],[0.9981311]
ZNRF3,[1],[0.9979488]
LRRK2,[1],[0.99791974]
TRPS1,[1],[0.9977982]
SMAD4,[1],[0.99751604]
PDE3A,[1],[0.9974486]
ZMYM2,[1],[0.99738234]
FBN1,[1],[0.9971064]
CASP8,[1],[0.9970968]
PDE4D,[1],[0.99697375]
