Gene,Predicted Label,Probability
HLA-A,[1],[1.]
SLC9A1,[1],[1.]
SNCA,[1],[1.]
KIAA1549,[1],[1.]
HECW1,[1],[1.]
PLA2G4A,[1],[1.]
WTIP,[1],[1.]
CDH7,[1],[1.]
IGF1R,[1],[1.]
SFRP2,[1],[1.]
SI,[1],[1.]
NID1,[1],[1.]
CHD7,[1],[1.]
KCNJ5,[1],[1.]
HSPG2,[1],[1.]
KCNJ4,[1],[1.]
HGF,[1],[1.]
KCNJ15,[1],[1.]
IL16,[1],[1.]
KAT8,[1],[1.]
BCORL1,[1],[1.]
UBD,[1],[1.]
GABBR2,[1],[1.]
MPL,[1],[1.]
MUC5AC,[1],[1.]
RUNX3,[1],[1.]
ZFHX3,[1],[1.]
KMT2D,[1],[1.]
AXIN2,[1],[1.]
AR,[1],[1.]
ACTN4,[1],[1.]
TBX3,[1],[1.]
PRKDC,[1],[1.]
NRIP1,[1],[1.]
GPC5,[1],[1.]
FLNB,[1],[1.]
TP53BP1,[1],[1.]
NRAS,[1],[1.]
DICER1,[1],[1.]
AGTR1,[1],[1.]
MMP7,[1],[1.]
GTF2B,[1],[1.]
GHR,[1],[1.]
MED12,[1],[1.]
VDR,[1],[1.]
NFE2L2,[1],[1.]
CDH8,[1],[1.]
EIF4G3,[1],[1.]
EPS15,[1],[1.]
MAP1B,[1],[1.]
AGO1,[1],[1.]
MYLK,[1],[1.]
RPTOR,[1],[1.]
RASSF2,[1],[1.]
SFN,[1],[1.]
PDGFRA,[1],[1.]
PTK6,[1],[1.]
YWHAZ,[1],[1.]
MYH13,[1],[1.]
BRCA1,[1],[1.]
VTN,[1],[1.]
OBSL1,[1],[1.]
VWF,[1],[1.]
CDK12,[1],[1.]
ZNF385A,[1],[1.]
PRDM1,[1],[1.]
PAX5,[1],[1.]
RELN,[1],[1.]
KLF4,[1],[1.]
SETD2,[1],[1.]
TRPC7,[1],[1.]
KDR,[1],[1.]
GSN,[1],[1.]
PAXIP1,[1],[1.]
FLNC,[1],[1.]
CD79A,[1],[1.]
TLN2,[1],[1.]
FPR1,[1],[1.]
HIVEP3,[1],[1.]
ITK,[1],[1.]
MEN1,[1],[1.]
USP9X,[1],[1.]
WNK1,[1],[1.]
IGF2BP2,[1],[1.]
FOXA1,[1],[1.]
E2F3,[1],[1.]
HIF3A,[1],[1.]
ITGA2B,[1],[1.]
PDE6B,[1],[1.]
IQGAP1,[1],[1.]
CTNNA2,[1],[1.]
COL3A1,[1],[1.]
HMGB1,[1],[1.]
LAMC2,[1],[1.]
UTRN,[1],[1.]
IL2RG,[1],[1.]
GATA3,[1],[1.]
AKT1,[1],[1.]
COL7A1,[1],[1.]
CTNNB1,[1],[1.]
NLN,[1],[1.]
LMO7,[1],[1.]
