Gene,Predicted Label,Probability
BCL7C,[1],[1.]
BRAP,[1],[1.]
LAMA1,[1],[1.]
DHDH,[1],[1.]
SYNE2,[1],[1.]
CDH1,[1],[1.]
PCDH15,[1],[1.]
KMT2A,[1],[1.]
TP53,[1],[1.]
NTAN1,[1],[1.]
SPRY3,[1],[1.]
PTEN,[1],[1.]
MYH8,[1],[1.]
MYL7,[1],[1.]
SYNE1,[1],[1.]
CALD1,[1],[1.]
TRIM24,[1],[1.]
ERBB4,[1],[1.]
BRD7,[1],[1.]
VLDLR,[1],[1.]
ZNF830,[1],[1.]
ACTN3,[1],[1.]
ZFHX3,[1],[1.]
FLG,[1],[1.]
RYR1,[1],[1.]
AMACR,[1],[1.]
FGFR3,[1],[1.]
RBM15,[1],[1.]
CTCF,[1],[1.]
DPF2,[1],[1.]
EYA2,[1],[1.]
TEC,[1],[1.]
GATA3,[1],[1.]
SS18L1,[1],[1.]
TLE1,[1],[1.]
SMAD4,[1],[1.]
CEP55,[1],[1.]
LRRK2,[1],[1.]
MLH3,[1],[1.]
DPF3,[1],[1.]
AJUBA,[1],[1.]
ARID1B,[1],[1.]
KLB,[1],[1.]
TFF3,[1],[1.]
MKI67,[1],[1.]
SETD2,[1],[1.]
AKT1,[1],[1.]
LAMA3,[1],[1.]
SGCE,[1],[1.]
CYP11B2,[1],[1.]
ATM,[1],[1.]
MYH13,[1],[1.]
ANK2,[1],[1.]
ADAM10,[1],[1.]
TLE2,[1],[1.]
ATRIP,[1],[1.]
TFE3,[1],[1.]
MAFB,[1],[1.]
TTF1,[1],[1.]
CREBBP,[1],[1.]
BTG2,[1],[1.]
UPP2,[1],[1.]
TOP2B,[1],[1.]
PIK3R1,[1],[1.]
MLLT1,[1],[1.]
RNF213,[1],[1.]
PDGFRA,[1],[1.]
UHRF1,[1],[1.]
UXT,[1],[1.]
SPOP,[1],[1.]
NOTCH1,[1],[1.]
DCLRE1A,[1],[1.]
CRP,[1],[1.]
RAD51B,[1],[1.]
CEP78,[1],[1.]
FBN2,[1],[1.]
EBF1,[1],[1.]
SPTA1,[1],[1.]
CANT1,[1],[1.]
SRGAP3,[1],[1.]
ROCK2,[1],[1.]
GATA2,[1],[1.]
XRCC3,[1],[1.]
BAZ2A,[1],[1.]
KMT2C,[1],[1.]
KRAS,[1],[1.]
TMOD4,[1],[1.]
ERBB2,[1],[1.]
TOPBP1,[1],[1.]
RBBP8,[1],[1.]
ITGA6,[1],[1.]
LIFR,[1],[1.]
PPWD1,[1],[1.]
USH2A,[1],[1.]
FAT1,[1],[1.]
CDH10,[1],[1.]
CEBPA,[1],[1.]
TNNT1,[1],[1.]
STIL,[1],[1.]
FBLN2,[1],[1.]
CTNNB1,[1],[1.]
HOXA1,[1],[1.]
CRYBB2,[1],[1.]
MCPH1,[1],[1.]
DST,[1],[1.]
AKR1B10,[1],[1.]
NT5C1A,[1],[1.]
MBD5,[1],[1.]
IGHV3-11,[1],[1.]
ENTPD4,[1],[1.]
WIF1,[1],[1.]
RIF1,[1],[1.]
PCLO,[1],[1.]
PPP5C,[1],[1.]
CSF2,[1],[1.]
KMT2D,[1],[1.]
OXSR1,[1],[1.]
GFAP,[1],[1.]
MARK4,[1],[1.]
MPL,[1],[1.]
EYA3,[1],[1.]
FGF22,[1],[1.]
LAMC3,[1],[1.]
CDC5L,[1],[1.]
TAF4B,[1],[1.]
BTC,[1],[1.]
CDK11A,[1],[1.]
MLLT3,[1],[1.]
MYO9A,[1],[1.]
HOXA2,[1],[1.]
MYH1,[1],[1.]
AMER1,[1],[1.]
NRAS,[1],[1.]
FOLH1,[1],[1.]
LRP2,[1],[1.]
MYL4,[1],[1.]
PTPN13,[1],[1.]
HMGN2,[1],[1.]
NT5C3B,[1],[1.]
CYLD,[1],[1.]
SORBS1,[1],[1.]
CRLF1,[1],[1.]
MEF2C,[1],[1.]
CIT,[1],[1.]
KDM6A,[1],[1.]
UPP1,[1],[1.]
EGR2,[1],[1.]
RAD51AP1,[1],[1.]
PBRM1,[1],[1.]
MMP20,[1],[1.]
VHL,[1],[1.]
CAP2,[1],[1.]
ELAVL2,[1],[1.]
OBSCN,[1],[1.]
LAMA4,[1],[1.]
PBX1,[1],[1.]
DEPDC1,[1],[1.]
DAB1,[1],[1.]
UVSSA,[1],[1.]
PPP1R14A,[1],[1.]
DNMT3A,[1],[1.]
LMO4,[1],[1.]
ID1,[1],[1.]
SRD5A3,[1],[1.]
ALMS1,[1],[1.]
SRD5A2,[1],[1.]
APC,[1],[1.]
PPP1R12B,[1],[1.]
SMARCD2,[1],[1.]
ARHGAP29,[1],[1.]
RUNX1,[1],[1.]
TNFRSF9,[1],[1.]
CYP2A6,[1],[1.]
PITX2,[1],[1.]
PHF10,[1],[1.]
GSTP1,[1],[1.]
PARP2,[1],[1.]
PIM1,[1],[1.]
MEIS1,[1],[1.]
HRAS,[1],[1.]
CCAR1,[1],[1.]
LCP1,[1],[1.]
TPM3,[1],[1.]
CIC,[1],[1.]
IGLL5,[1],[1.]
USP21,[1],[1.]
RASGRF1,[1],[1.]
ARIH1,[1],[1.]
NRIP1,[1],[1.]
A1CF,[1],[1.]
HMGA2,[1],[1.]
ACACB,[1],[1.]
SMO,[1],[1.]
MYBPC2,[1],[1.]
FBXW7,[1],[1.]
ARID1A,[1],[1.]
NRG3,[1],[1.]
MYH11,[1],[1.]
KAT6A,[1],[1.]
TMOD1,[1],[1.]
TPM4,[1],[1.]
RAD9B,[1],[1.]
PLA2G4A,[1],[1.]
LGALS4,[1],[1.]
POLN,[1],[1.]
PTPRB,[1],[1.]
ELK1,[1],[1.]
MYBPC1,[1],[1.]
APOB,[1],[1.]
ABL2,[1],[1.]
KMT2B,[1],[1.]
CNTRL,[1],[1.]
RPS6KA6,[1],[1.]
DES,[1],[1.]
NEU4,[1],[1.]
PIK3CA,[1],[1.]
EP300,[1],[1.]
TNKS1BP1,[1],[1.]
EAF2,[1],[1.]
CDKN3,[1],[1.]
LAMC2,[1],[1.]
SOX17,[1],[1.]
PRKCB,[1],[1.]
MAP2K4,[1],[1.]
ITGA10,[1],[1.]
NRG4,[1],[1.]
PIN1,[1],[1.]
SPTBN2,[1],[1.]
MAP3K1,[1],[1.]
GPX1,[1],[1.]
DMD,[1],[1.]
VDR,[1],[1.]
RYR2,[1],[1.]
TK2,[1],[1.]
MYBBP1A,[1],[1.]
MUC4,[1],[1.]
CHRNA1,[1],[1.]
ITGB5,[1],[1.]
BRIP1,[1],[1.]
SORBS3,[1],[1.]
MYLPF,[1],[1.]
UBTF,[1],[1.]
ACTG2,[1],[1.]
MYH10,[1],[1.]
BRAF,[1],[1.]
CDKN2A,[1],[1.]
CASP8,[1],[1.]
FCGR2B,[1],[1.]
HMGN1,[1],[1.]
TMOD3,[1],[1.]
NF1,[1],[1.]
MLLT10,[1],[1.]
ERBB3,[1],[1.]
MUC16,[1],[1.]
ITGA1,[1],[1.]
MYB,[1],[1.]
TTN,[1],[1.]
ADAM15,[1],[1.]
FAN1,[1],[1.]
SPRED2,[1],[1.]
GAS2,[1],[1.]
AHNAK,[1],[1.]
ITPR2,[1],[1.]
MYBPC3,[1],[1.]
CDCA3,[1],[1.]
MYH14,[1],[1.]
SND1,[1],[1.]
OBSL1,[1],[1.]
DMC1,[1],[1.]
EPHB6,[1],[1.]
PPIL4,[1],[1.]
GFRA1,[1],[1.]
L1CAM,[1],[1.]
SOX9,[1],[1.]
PCK1,[1],[1.]
PPIL3,[1],[1.]
HUWE1,[1],[1.]
CSF3,[1],[1.]
PPP1R12A,[1],[1.]
SRD5A1,[1],[1.]
SET,[1],[1.]
RASAL3,[1],[1.]
IL27,[1],[1.]
RASAL2,[1],[1.]
KDSR,[1],[1.]
SPTAN1,[1],[1.]
MTHFR,[1],[1.]
TLE4,[1],[1.]
CHD1L,[1],[1.]
LRIG1,[1],[1.]
KMT2E,[1],[1.]
TPM2,[1],[1.]
UBR4,[1],[1.]
FAT4,[1],[1.]
VIM,[1],[1.]
ACTL6B,[1],[1.]
KDM4B,[1],[1.]
TCF7L1,[1],[1.]
RELN,[1],[1.]
TLE3,[1],[1.]
PKNOX1,[1],[0.9999999]
CYP11B1,[1],[0.9999999]
FH,[1],[0.9999999]
BMP6,[1],[0.9999999]
ELOVL6,[1],[0.9999999]
TNRC6B,[1],[0.9999999]
FBN1,[1],[0.9999999]
FLNB,[1],[0.9999999]
TGFBR2,[1],[0.9999999]
SLC18A3,[1],[0.9999999]
PTPN6,[1],[0.9999999]
PMP22,[1],[0.9999999]
MITF,[1],[0.9999999]
NRG2,[1],[0.9999999]
STAT3,[1],[0.9999999]
NLK,[1],[0.9999999]
ROCK1,[1],[0.9999999]
LHX2,[1],[0.9999999]
MYL3,[1],[0.9999999]
DEK,[1],[0.9999999]
COL2A1,[1],[0.9999999]
EXT1,[1],[0.9999999]
PRKDC,[1],[0.9999999]
CHD4,[1],[0.9999999]
FGF10,[1],[0.9999999]
PML,[1],[0.9999999]
MYL6B,[1],[0.9999999]
FGF7,[1],[0.9999999]
XRN1,[1],[0.9999999]
ZEB1,[1],[0.9999999]
MACF1,[1],[0.9999999]
SUCLG1,[1],[0.99999976]
ATR,[1],[0.99999976]
