Gene,Predicted Label,Probability
BCL6,[1],[1.]
TNNI3,[1],[1.]
CCS,[1],[1.]
ADH1B,[1],[1.]
SOD3,[1],[1.]
UPP1,[1],[1.]
PCGF1,[1],[1.]
SMO,[1],[1.]
UMPS,[1],[1.]
TNNT2,[1],[1.]
BCOR,[1],[1.]
BOC,[1],[1.]
SDHD,[1],[1.]
MYH3,[1],[1.]
SUCLA2,[1],[1.]
ATP7A,[1],[1.]
UPP2,[1],[1.]
PTCH2,[1],[1.]
SUFU,[1],[1.]
GAS1,[1],[1.]
SULT1A3,[1],[1.]
PTCH1,[1],[1.]
TNNI1,[1],[1.]
KDM2B,[1],[1.]
UCK1,[1],[1.]
SULT1A2,[1],[1.]
ATOX1,[1],[1.]
UCKL1,[1],[1.]
DLST,[1],[1.]
STIL,[1],[1.]
DIO1,[1],[1.]
PDZD11,[1],[1.]
TCAP,[1],[1.]
DIO2,[1],[1.]
UCK2,[1],[1.]
TNNT3,[1],[0.9999999]
C1QB,[1],[0.9999999]
MYH6,[1],[0.9999999]
ATP7B,[1],[0.9999999]
LOXL1,[1],[0.9999999]
SUCLG1,[1],[0.9999999]
SLC5A6,[1],[0.9999999]
NEB,[1],[0.9999999]
C1QA,[1],[0.9999999]
MYBPC3,[1],[0.9999999]
TNNT1,[1],[0.9999999]
SHH,[1],[0.9999999]
TMOD1,[1],[0.99999976]
MYH8,[1],[0.99999976]
TNNC2,[1],[0.99999976]
CDON,[1],[0.99999976]
TMOD3,[1],[0.99999964]
DES,[1],[0.99999964]
MYL3,[1],[0.99999964]
MYBPC1,[1],[0.99999964]
MYBPC2,[1],[0.99999964]
MYL4,[1],[0.99999964]
TMOD4,[1],[0.99999964]
SDHA,[1],[0.9999995]
HDAC5,[1],[0.9999995]
OGDH,[1],[0.9999994]
UPRT,[1],[0.9999994]
MYL1,[1],[0.9999993]
LOXL4,[1],[0.9999993]
MYL2,[1],[0.9999993]
TMOD2,[1],[0.99999917]
LOXL3,[1],[0.99999905]
VIM,[1],[0.99999905]
TYMP,[1],[0.99999905]
LOXL2,[1],[0.9999989]
SUCLG2,[1],[0.9999989]
ELN,[1],[0.9999988]
SDHB,[1],[0.9999988]
TNNI2,[1],[0.9999988]
TPM2,[1],[0.99999833]
DMD,[1],[0.9999976]
TPM1,[1],[0.99999726]
SULT1A1,[1],[0.9999962]
DPYD,[1],[0.99999547]
MFAP2,[1],[0.99999535]
SDHAF2,[1],[0.99999523]
MFAP5,[1],[0.99999464]
TPM3,[1],[0.9999937]
ADH6,[1],[0.9999931]
ACTN3,[1],[0.99999297]
TPM4,[1],[0.99999285]
CMPK2,[1],[0.9999912]
FBLN5,[1],[0.99998844]
IL34,[1],[0.9999865]
MYOM2,[1],[0.99998474]
PDHB,[1],[0.9999846]
TNNC1,[1],[0.99998426]
GLI2,[1],[0.99998116]
PTPN11,[1],[0.99997234]
ENTPD8,[1],[0.9999714]
C1QC,[1],[0.9999665]
DKK4,[1],[0.9999635]
FH,[1],[0.99996054]
ENTPD1,[1],[0.9999585]
DLAT,[1],[0.9999571]
SDHC,[1],[0.99995375]
PDHA2,[1],[0.9999511]
KREMEN2,[1],[0.9999354]
CSF1R,[1],[0.99993443]
PDHA1,[1],[0.99993074]
BCORL1,[1],[0.9999291]
ACTN2,[1],[0.99991274]
PDHX,[1],[0.9999126]
GAB2,[1],[0.9999026]
LIPT1,[1],[0.9999026]
GLI1,[1],[0.9998957]
DHTKD1,[1],[0.9998832]
DKK2,[1],[0.9998741]
GPC3,[1],[0.9998437]
C1R,[1],[0.99983966]
CCDC68,[1],[0.99982435]
SMURF1,[1],[0.99981874]
PNP,[1],[0.9998004]
CD163,[1],[0.99977547]
HRAS,[1],[0.9997682]
KREMEN1,[1],[0.99976164]
ATXN1L,[1],[0.99974114]
DLD,[1],[0.99973494]
CD80,[1],[0.9997087]
BCKDHB,[1],[0.9997067]
IHH,[1],[0.9996623]
BCKDHA,[1],[0.9996512]
CDK1,[1],[0.9996412]
BCL9L,[1],[0.99962795]
PIK3CA,[1],[0.9996189]
C1S,[1],[0.9996176]
DHH,[1],[0.9995926]
LOX,[1],[0.9995863]
TRAP1,[1],[0.9995801]
CD274,[1],[0.99955755]
DBT,[1],[0.9994838]
DHDH,[1],[0.9994772]
PCOLCE,[1],[0.99946326]
LDB3,[1],[0.9994413]
ENTPD3,[1],[0.99937624]
GLI3,[1],[0.9993482]
SETDB2,[1],[0.99932504]
TLL1,[1],[0.99931717]
LCK,[1],[0.99930847]
WNT8A,[1],[0.9993081]
SRD5A1,[1],[0.99930656]
TLE1,[1],[0.99926597]
WNT8B,[1],[0.9992481]
PDCD1,[1],[0.9992373]
FLT3LG,[1],[0.9992316]
CTLA4,[1],[0.99921894]
APOBEC3A,[1],[0.99919647]
UBC,[1],[0.99912494]
IL2,[1],[0.99904007]
APOBEC3H,[1],[0.99902976]
IL6R,[1],[0.99895704]
RBM15B,[1],[0.9989459]
CYP2A6,[1],[0.9989415]
PIK3R1,[1],[0.99893695]
SRD5A2,[1],[0.99893016]
ENTPD6,[1],[0.99885356]
ENTPD5,[1],[0.99885345]
SHC1,[1],[0.9987913]
SMURF2,[1],[0.9987808]
MDFIC,[1],[0.9987552]
KIT,[1],[0.9987509]
UBB,[1],[0.9987503]
SRD5A3,[1],[0.9987274]
APOBEC3B,[1],[0.99872154]
MYH7,[1],[0.99864227]
JAK2,[1],[0.9986278]
CDH24,[1],[0.9985886]
FYN,[1],[0.99857545]
CDH6,[1],[0.99851614]
PYGO2,[1],[0.9984402]
LYN,[1],[0.99837]
CDH7,[1],[0.99833137]
CBL,[1],[0.9983248]
CDH9,[1],[0.9982834]
GRB2,[1],[0.99827206]
TLE4,[1],[0.99823534]
NT5E,[1],[0.9982287]
SOST,[1],[0.99816424]
CDH4,[1],[0.9981256]
TTN,[1],[0.99808973]
CDA,[1],[0.9980666]
APOBEC3C,[1],[0.998063]
CDH18,[1],[0.99801815]
ITGB3,[1],[0.99798125]
CCNB1,[1],[0.99797946]
RUNX1,[1],[0.9979627]
TLE2,[1],[0.9978957]
AKT1,[1],[0.9978721]
TLE3,[1],[0.9978179]
FLT3,[1],[0.9977925]
PTPN6,[1],[0.99772626]
YES1,[1],[0.9976978]
TLL2,[1],[0.997677]
GAS2,[1],[0.99763775]
NRAS,[1],[0.9976285]
ENTPD4,[1],[0.9976018]
CDH12,[1],[0.9975873]
IL2RA,[1],[0.9975539]
MAPK3,[1],[0.99746466]
CYP11B2,[1],[0.9974573]
ENPP1,[1],[0.9973761]
CDH10,[1],[0.9973749]
IL4,[1],[0.9972837]
SOX17,[1],[0.9971616]
CXXC5,[1],[0.9970795]
PSIP1,[1],[0.9970073]
KRAS,[1],[0.9969813]
COX17,[1],[0.99685365]
CIC,[1],[0.9968087]
SPI1,[1],[0.99669904]
MYLPF,[1],[0.99668735]
CDH13,[1],[0.99668]
TCF7,[1],[0.99663574]
IRS2,[1],[0.99648106]
APOBEC2,[1],[0.9962586]
IKBKG,[1],[0.9962529]
CYP11B1,[1],[0.9962048]
GAB1,[1],[0.9960341]
ITGAV,[1],[0.99593866]
BMP1,[1],[0.99592006]
MET,[1],[0.99587435]
MAP2K1,[1],[0.99582833]
TYROBP,[1],[0.9958062]
RHOA,[1],[0.9957872]
VAX1,[1],[0.99568707]
MFAP3,[1],[0.9955794]
WNT2,[1],[0.99557567]
EFEMP1,[1],[0.9955694]
IL5,[1],[0.99555826]
KL,[1],[0.9954912]
IL15RA,[1],[0.995349]
IGLL5,[1],[0.9952899]
WNT9B,[1],[0.995274]
CDH15,[1],[0.9952662]
CBFB,[1],[0.99526274]
WNT10B,[1],[0.9951285]
PLCG2,[1],[0.99507785]
RAPGEF1,[1],[0.99504566]
RBM15,[1],[0.9949845]
HCK,[1],[0.9949468]
CD3E,[1],[0.99493164]
IL15,[1],[0.99487996]
BCR,[1],[0.9948716]
FBLN2,[1],[0.99480504]
FZD8,[1],[0.99477047]
EFEMP2,[1],[0.99455357]
POGZ,[1],[0.9945167]
UBA52,[1],[0.9943943]
AKR1D1,[1],[0.9943304]
CRP,[1],[0.9943258]
CTBP1,[1],[0.99430275]
FZD2,[1],[0.9942835]
KMT2D,[1],[0.99428034]
TCF7L1,[1],[0.99417347]
PDPK1,[1],[0.99402386]
MAPK14,[1],[0.9940049]
PTPRZ1,[1],[0.9939778]
PIK3CD,[1],[0.9939075]
CDH11,[1],[0.9938976]
FZD1,[1],[0.99385494]
PBX1,[1],[0.99374074]
IL5RA,[1],[0.99357903]
CSF2,[1],[0.9934523]
RET,[1],[0.9933461]
CRK,[1],[0.9933241]
WNT7B,[1],[0.99331254]
IL3,[1],[0.9932736]
IL3RA,[1],[0.99324244]
NTHL1,[1],[0.9932115]
MAPK1,[1],[0.9930519]
ZSCAN10,[1],[0.99302423]
NIN,[1],[0.99302226]
CREBBP,[1],[0.99296486]
IL6ST,[1],[0.99294704]
FKBP1B,[1],[0.992937]
CYP2E1,[1],[0.99290705]
AKR1C2,[1],[0.99286133]
SMAD4,[1],[0.992826]
WNT9A,[1],[0.99282044]
CYCS,[1],[0.99274725]
NT5C3A,[1],[0.99262565]
IL2RB,[1],[0.9925593]
GFRA2,[1],[0.9925041]
NRTN,[1],[0.9923968]
IL6,[1],[0.9923534]
WNT3A,[1],[0.9923471]
CD86,[1],[0.9922896]
ARTN,[1],[0.99228716]
FBLN1,[1],[0.99222213]
CYP3A4,[1],[0.9922099]
FRS2,[1],[0.99219924]
GFRA3,[1],[0.992176]
MOV10,[1],[0.992153]
CSF1,[1],[0.99213713]
PSPN,[1],[0.99202865]
GDNF,[1],[0.99193454]
KLF4,[1],[0.99189454]
CSF2RB,[1],[0.99181795]
PDCD1LG2,[1],[0.991732]
DPPA4,[1],[0.9917174]
VAV1,[1],[0.99161726]
PTPN1,[1],[0.99149793]
EPHA1,[1],[0.9914681]
SOX4,[1],[0.99139494]
TNRC6C,[1],[0.9913557]
MAP2K2,[1],[0.9910494]
WNT3,[1],[0.9910417]
SOX13,[1],[0.99094397]
TCF7L2,[1],[0.9909368]
PIK3CB,[1],[0.9909218]
IL2RG,[1],[0.99090016]
TNRC6B,[1],[0.99085605]
ZIC3,[1],[0.9908125]
LEF1,[1],[0.99078125]
FGFR3,[1],[0.99069875]
CRKL,[1],[0.9906657]
CTBP2,[1],[0.9905467]
IKZF3,[1],[0.9905047]
GFRA1,[1],[0.99047196]
FOXD3,[1],[0.9903723]
NT5C,[1],[0.9902435]
CSF2RA,[1],[0.9901916]
ATIC,[1],[0.99003464]
CTNNBIP1,[1],[0.9898497]
SYK,[1],[0.9898116]
WNT2B,[1],[0.9897404]
HGF,[1],[0.9894951]
RYR2,[1],[0.98938644]
LMO4,[1],[0.9893755]
SDC1,[1],[0.9892943]
BRIP1,[1],[0.98929065]
JUN,[1],[0.98924714]
CTNND2,[1],[0.98916924]
KAT5,[1],[0.98911846]
WNT5B,[1],[0.98909014]
STAT3,[1],[0.9889501]
GPX1,[1],[0.9888636]
A1CF,[1],[0.98860246]
SFRP2,[1],[0.9884807]
INPP5D,[1],[0.98840684]
BCAR1,[1],[0.9884013]
SOS1,[1],[0.9883768]
RAD51B,[1],[0.98835945]
STAT5B,[1],[0.9880876]
PIK3R2,[1],[0.98777944]
NT5C2,[1],[0.9877429]
PPARD,[1],[0.9876401]
TCF4,[1],[0.98756707]
CD28,[1],[0.98754674]
CDX1,[1],[0.98749477]
SFRP1,[1],[0.98738086]
STAT6,[1],[0.9871639]
SALL1,[1],[0.9871136]
TRDN,[1],[0.9869501]
SOX6,[1],[0.98693687]
FRS3,[1],[0.98687124]
CAPS,[1],[0.9867438]
PRMT6,[1],[0.986712]
CBLL1,[1],[0.98656565]
PRDM14,[1],[0.9865638]
VEGFA,[1],[0.9861733]
ACTC1,[1],[0.986033]
PRSS57,[1],[0.98593336]
WRN,[1],[0.98586696]
PRKCZ,[1],[0.9858122]
WIF1,[1],[0.9858042]
RBBP8,[1],[0.98558235]
JAK3,[1],[0.98549634]
WNT4,[1],[0.9854348]
FGF23,[1],[0.9854027]
RXRA,[1],[0.9852542]
ACTL6B,[1],[0.9850151]
APC,[1],[0.9849759]
DOK1,[1],[0.9846048]
CYP3A5,[1],[0.9844952]
CDH1,[1],[0.9844891]
DPF3,[1],[0.98427343]
LDB1,[1],[0.98419535]
WNT7A,[1],[0.98419213]
CCND1,[1],[0.9839252]
CDH8,[1],[0.9837378]
ATF2,[1],[0.98373425]
NFYB,[1],[0.9835814]
NT5C1A,[1],[0.9835722]
MYPN,[1],[0.98334193]
PTPN2,[1],[0.9831101]
SRC,[1],[0.98295873]
AMT,[1],[0.9829516]
WNT10A,[1],[0.9829502]
CD3D,[1],[0.9828712]
GPX8,[1],[0.9828408]
HSD3B2,[1],[0.9828031]
WNT6,[1],[0.9823941]
CYP2A13,[1],[0.9822665]
AGO4,[1],[0.9822567]
ATM,[1],[0.9818573]
IBTK,[1],[0.98183733]
BCL9,[1],[0.9818141]
OGG1,[1],[0.9817322]
ERCC1,[1],[0.9814176]
LIN28A,[1],[0.98137337]
FZD9,[1],[0.9813245]
FES,[1],[0.9812509]
PHF11,[1],[0.9811621]
CTAGE1,[1],[0.98116136]
BARD1,[1],[0.981041]
SH3PXD2A,[1],[0.98086953]
GPX3,[1],[0.9804278]
CSK,[1],[0.9800582]
KMT2E,[1],[0.9796784]
KMT2B,[1],[0.9795038]
HSD17B3,[1],[0.97950155]
PHF10,[1],[0.979447]
SH3BP5,[1],[0.9790546]
POU5F1,[1],[0.9790509]
IL10,[1],[0.9789877]
TRPM7,[1],[0.9786689]
MEF2D,[1],[0.9786685]
XRCC3,[1],[0.97839326]
IL13,[1],[0.97828877]
ATF7,[1],[0.97828066]
AKR7A3,[1],[0.9782542]
HIVEP2,[1],[0.97822833]
APEX1,[1],[0.9782095]
TOP3A,[1],[0.9781577]
HSD17B2,[1],[0.97808903]
PIK3R3,[1],[0.97794014]
DKK1,[1],[0.9777917]
MAPK12,[1],[0.97773015]
BLK,[1],[0.9775303]
ATRIP,[1],[0.97727513]
CD4,[1],[0.9770964]
EFNB1,[1],[0.97698545]
NLK,[1],[0.97685325]
VAV3,[1],[0.97667694]
ESRRB,[1],[0.9764798]
GPX7,[1],[0.97597915]
PFAS,[1],[0.97596383]
RAD51C,[1],[0.9758672]
NEIL1,[1],[0.9756783]
ETS1,[1],[0.9755604]
CD79B,[1],[0.9755289]
EFNB3,[1],[0.97544664]
EPHB6,[1],[0.9754072]
RAG2,[1],[0.9751728]
PDK4,[1],[0.9751372]
PDP2,[1],[0.9751013]
PDK3,[1],[0.97509694]
EPHA6,[1],[0.9750556]
TOPBP1,[1],[0.97494906]
EPHB1,[1],[0.97471094]
STAT5A,[1],[0.9746202]
TCF3,[1],[0.974502]
PDK1,[1],[0.9744835]
RAD51AP1,[1],[0.9744596]
WDR6,[1],[0.97426784]
CYP19A1,[1],[0.97426355]
EXO1,[1],[0.97354364]
CD22,[1],[0.9734211]
LAT2,[1],[0.97323555]
GATA2,[1],[0.9731843]
MAGI1,[1],[0.9730137]
FCER1A,[1],[0.97292435]
AGO3,[1],[0.9728001]
LRAT,[1],[0.97272015]
SH3PXD2B,[1],[0.972614]
EME1,[1],[0.97254354]
AKT3,[1],[0.9723146]
IRS1,[1],[0.9720482]
BRWD1,[1],[0.97148955]
EPHA10,[1],[0.97140855]
NES,[1],[0.97131944]
NFYA,[1],[0.9712271]
PIN1,[1],[0.9712157]
CD72,[1],[0.9711186]
RASA1,[1],[0.9711094]
LHX9,[1],[0.9708702]
FZD10,[1],[0.970811]
DPF2,[1],[0.97079057]
HSD3B1,[1],[0.97064734]
IL4R,[1],[0.97057813]
IGHV3-11,[1],[0.97051513]
PRKCA,[1],[0.97050875]
MUC4,[1],[0.97044104]
AKR1C4,[1],[0.970022]
PRR5L,[1],[0.96989584]
SPECC1,[1],[0.9698186]
RAD17,[1],[0.96939576]
RPA3,[1],[0.96925294]
TNF,[1],[0.9691887]
MS4A2,[1],[0.9691224]
GLDC,[1],[0.9687955]
RELA,[1],[0.9686826]
CD79A,[1],[0.9685533]
ETV7,[1],[0.9682238]
RAD50,[1],[0.967839]
PAICS,[1],[0.9678192]
PDPR,[1],[0.96775705]
CYP26A1,[1],[0.967589]
GART,[1],[0.96741897]
JAK1,[1],[0.9673795]
VDR,[1],[0.96730465]
PDP1,[1],[0.9672455]
RAD9A,[1],[0.9671088]
CYP1B1,[1],[0.9670516]
HUS1,[1],[0.96638393]
CYP17A1,[1],[0.96636623]
MEF2C,[1],[0.9658088]
ARL14EP,[1],[0.9655789]
LMO1,[1],[0.9654777]
DOK2,[1],[0.9653099]
BLM,[1],[0.96513623]
SH2D3C,[1],[0.9649475]
TDGF1,[1],[0.96472025]
KMT2C,[1],[0.9644983]
EP300,[1],[0.96436155]
COIL,[1],[0.9642566]
MAMLD1,[1],[0.9640688]
EPHX1,[1],[0.96401876]
PDK2,[1],[0.9638857]
JUP,[1],[0.9637854]
ADAM19,[1],[0.9637757]
KMT2A,[1],[0.96341836]
FASN,[1],[0.9633426]
ADSL,[1],[0.9627884]
VAV2,[1],[0.9627272]
AKR7A2,[1],[0.96244025]
COPRS,[1],[0.9623908]
CRYZ,[1],[0.9623887]
DAPP1,[1],[0.9622808]
RSPO3,[1],[0.9622252]
DNA2,[1],[0.9621437]
MFAP4,[1],[0.9620944]
ADH1A,[1],[0.9620662]
EPHA8,[1],[0.9618365]
PRMT1,[1],[0.961814]
ITGB1,[1],[0.96158326]
ATF3,[1],[0.9613711]
CSNK1G2,[1],[0.9613604]
TP53,[1],[0.9611844]
LGR6,[1],[0.9606998]
GATA1,[1],[0.9604839]
GPX2,[1],[0.9599273]
UBQLN4,[1],[0.95988286]
GATA3,[1],[0.95979124]
RYR3,[1],[0.9597438]
PPARA,[1],[0.9594878]
FANCE,[1],[0.9594]
DDIT3,[1],[0.95904696]
EFNA3,[1],[0.9588141]
PAFAH1B2,[1],[0.9583976]
ZFPM1,[1],[0.9582912]
MYB,[1],[0.95811945]
FCGR2B,[1],[0.9574987]
TBL1X,[1],[0.9573456]
SMARCD2,[1],[0.9569744]
NRIP1,[1],[0.95673627]
RAD9B,[1],[0.9566577]
MUC16,[1],[0.9563884]
SMARCD3,[1],[0.9563052]
SERPING1,[1],[0.95629495]
HPGDS,[1],[0.9561745]
FZD7,[1],[0.9554888]
EFNA4,[1],[0.9554031]
FGR,[1],[0.9550078]
FLT4,[1],[0.9548804]
PDLIM7,[1],[0.9547415]
FOS,[1],[0.95453835]
NCOA6,[1],[0.9545014]
ITGA2B,[1],[0.9544138]
FOXO1,[1],[0.9543419]
CCDC6,[1],[0.9543246]
POLE4,[1],[0.9543229]
UGT2B10,[1],[0.95408607]
UGT2B11,[1],[0.95408607]
C4B,[1],[0.9540506]
PPAT,[1],[0.95398486]
RTEL1,[1],[0.9539734]
NUBP1,[1],[0.9537269]
TAL1,[1],[0.9534248]
RASAL3,[1],[0.9532937]
FANCG,[1],[0.95326686]
RAD1,[1],[0.9530934]
FGF2,[1],[0.9527509]
BPTF,[1],[0.9526657]
ENPP3,[1],[0.9523063]
PCNA,[1],[0.9521705]
UBE2T,[1],[0.9521638]
TFDP1,[1],[0.9520874]
FERMT2,[1],[0.95170623]
LIFR,[1],[0.95087016]
RABEP1,[1],[0.9508513]
CDH17,[1],[0.9504736]
POLE3,[1],[0.95024854]
POLN,[1],[0.9500334]
NFYC,[1],[0.9500092]
ZNRF3,[1],[0.9498613]
RHNO1,[1],[0.94971204]
OGDHL,[1],[0.94959646]
EPHA7,[1],[0.94930077]
EPHB3,[1],[0.9487308]
ZC3H13,[1],[0.94855857]
TMED5,[1],[0.9485056]
SS18,[1],[0.94845617]
CD19,[1],[0.9483887]
ARID1B,[1],[0.9483533]
FSCN1,[1],[0.9476205]
CAV1,[1],[0.9474308]
BTN2A1,[1],[0.9469445]
DHODH,[1],[0.9467965]
GFI1,[1],[0.9465217]
AGO1,[1],[0.9464281]
