Gene,Predicted Label,Probability
APC,[1],[1.]
PBRM1,[1],[1.]
MPRIP,[1],[1.]
FAT1,[1],[1.]
HOXA1,[1],[1.]
SYNE1,[1],[1.]
TTN,[1],[1.]
ZNF830,[1],[1.]
VHL,[1],[1.]
KRAS,[1],[1.]
MAP3K1,[1],[1.]
NRAS,[1],[1.]
CDH1,[1],[1.]
MAP4K4,[1],[1.]
MUC16,[1],[1.]
BRAF,[1],[1.]
CTCF,[1],[1.]
ARID1A,[1],[1.]
KMT2C,[1],[1.]
GATA3,[1],[1.]
UVSSA,[1],[1.]
FRS3,[1],[1.]
IGHV3-11,[1],[1.]
TP53,[1],[1.]
PPP5C,[1],[1.]
PTEN,[1],[1.]
CTNNB1,[1],[1.]
PIK3CA,[1],[1.]
FGF18,[1],[0.9999999]
PARP2,[1],[0.9999999]
SPTA1,[1],[0.9999999]
AJUBA,[1],[0.9999999]
BAMBI,[1],[0.9999999]
KIAA0319,[1],[0.99999976]
HOXB4,[1],[0.99999976]
IGLL5,[1],[0.99999976]
LAMA4,[1],[0.99999964]
KMT2D,[1],[0.9999995]
TLE2,[1],[0.9999994]
RYR2,[1],[0.9999994]
PRKCB,[1],[0.9999989]
FBXW7,[1],[0.9999987]
SPOP,[1],[0.99999857]
CHD1L,[1],[0.99999845]
NFKBIE,[1],[0.99999845]
EAF2,[1],[0.99999845]
ATM,[1],[0.999998]
FLG,[1],[0.99999785]
WDR31,[1],[0.9999974]
PIK3R1,[1],[0.9999968]
NRIP1,[1],[0.9999968]
FGF22,[1],[0.99999666]
DST,[1],[0.9999963]
USP21,[1],[0.9999956]
KMT2B,[1],[0.9999956]
TAF4B,[1],[0.99999523]
EIF5B,[1],[0.999995]
AGGF1,[1],[0.99999464]
FAT4,[1],[0.9999938]
MAPK12,[1],[0.99999356]
PTPN2,[1],[0.99999297]
TAF7L,[1],[0.99999213]
NOTCH1,[1],[0.999992]
IKZF3,[1],[0.9999902]
ITPR2,[1],[0.9999894]
KMT2A,[1],[0.9999877]
OBSCN,[1],[0.9999863]
CDC5L,[1],[0.99998474]
AGK,[1],[0.9999839]
DOK2,[1],[0.9999808]
TNRC6B,[1],[0.9999802]
RETSAT,[1],[0.9999769]
HMGN1,[1],[0.99997675]
SMAD4,[1],[0.9999752]
BRAP,[1],[0.9999734]
HRAS,[1],[0.9999702]
ZNF217,[1],[0.99996996]
HOXA2,[1],[0.99996984]
KMT2E,[1],[0.9999691]
PRSS3,[1],[0.99996305]
LRP2,[1],[0.99996114]
KLB,[1],[0.99996054]
STON1,[1],[0.9999565]
COL27A1,[1],[0.99995387]
L1CAM,[1],[0.9999536]
PCLO,[1],[0.99995196]
MAP3K11,[1],[0.99994886]
FGFR3,[1],[0.9999484]
SYT11,[1],[0.99994826]
UBTF,[1],[0.99994826]
MLLT3,[1],[0.9999459]
KDM7A,[1],[0.9999378]
KRT23,[1],[0.99993646]
BCO1,[1],[0.9999337]
EIF4H,[1],[0.9999304]
TRIM24,[1],[0.9999229]
IL12RB1,[1],[0.9999223]
TRIM28,[1],[0.99991846]
TLE1,[1],[0.99991333]
PIK3R6,[1],[0.9999058]
LIFR,[1],[0.9998939]
CDKN1C,[1],[0.9998883]
LIMD1,[1],[0.99988747]
APOB,[1],[0.9998803]
USP7,[1],[0.9998754]
NF1,[1],[0.99987257]
SYT9,[1],[0.99986017]
COL11A1,[1],[0.9998516]
HCK,[1],[0.999838]
MAP3K14,[1],[0.9998379]
SMG6,[1],[0.9998343]
SP1,[1],[0.9998186]
EBF1,[1],[0.99981505]
FOXA1,[1],[0.9997943]
AK6,[1],[0.9997876]
AMER1,[1],[0.99978393]
MAMLD1,[1],[0.99977165]
CDSN,[1],[0.9997689]
FGF16,[1],[0.9997583]
BAG4,[1],[0.99975115]
MACF1,[1],[0.99974483]
CREBBP,[1],[0.99973315]
DMD,[1],[0.9997085]
PGR,[1],[0.9997043]
MAP2K4,[1],[0.9997038]
TLE4,[1],[0.99969614]
ERBB4,[1],[0.9996929]
SETD2,[1],[0.999691]
UBR4,[1],[0.9996879]
CSNK1A1,[1],[0.9996798]
CSF2,[1],[0.99964964]
PIP4K2C,[1],[0.9996332]
EEFSEC,[1],[0.9996284]
CTSK,[1],[0.9996137]
CDK11A,[1],[0.9996112]
RBL2,[1],[0.9996092]
MLLT1,[1],[0.9995913]
RNMT,[1],[0.99959105]
CDH12,[1],[0.99957615]
MOV10,[1],[0.99955326]
LAMA1,[1],[0.9995147]
LRIG1,[1],[0.9994752]
TLE3,[1],[0.9994734]
SOX9,[1],[0.9994711]
FCGR3A,[1],[0.999471]
PTPN12,[1],[0.9994641]
WNT10A,[1],[0.99945945]
BRIP1,[1],[0.9993832]
FGF19,[1],[0.9993808]
KDM6A,[1],[0.9993579]
EPHA10,[1],[0.9992829]
FHL2,[1],[0.99927586]
PSMF1,[1],[0.99927443]
TFF3,[1],[0.99925786]
PDGFRA,[1],[0.9992574]
MAFB,[1],[0.9992508]
GATA2,[1],[0.99918276]
NRG3,[1],[0.99917907]
SYNE2,[1],[0.9991779]
DNM3,[1],[0.9991239]
RPL7L1,[1],[0.99912006]
PRKCQ,[1],[0.99908817]
TEC,[1],[0.99906975]
ZMYM2,[1],[0.99900097]
RUNX3,[1],[0.9989895]
FGF7,[1],[0.9989868]
RASGRF1,[1],[0.99895215]
PITX2,[1],[0.9989285]
CHD9,[1],[0.99890757]
GAPVD1,[1],[0.9988551]
SLC18A3,[1],[0.9988477]
RAD51B,[1],[0.99884367]
SMAD1,[1],[0.9988392]
EAF1,[1],[0.99883777]
LRRC7,[1],[0.99882716]
RPS27A,[1],[0.99881965]
AKAP9,[1],[0.9987876]
COL28A1,[1],[0.9987847]
CYLD,[1],[0.9987821]
TFF1,[1],[0.9987569]
MYB,[1],[0.998669]
YY1,[1],[0.998667]
EP300,[1],[0.99861956]
CTDP1,[1],[0.9986186]
CTBP1,[1],[0.9986181]
BRD2,[1],[0.99860364]
LMO4,[1],[0.99858224]
RIF1,[1],[0.99855345]
PLA2G4A,[1],[0.99853003]
AKT1,[1],[0.998519]
PARP1,[1],[0.9984775]
PCDH15,[1],[0.99840695]
GRB10,[1],[0.99839705]
ITGA11,[1],[0.99836165]
HUWE1,[1],[0.99832565]
TRIM38,[1],[0.9983115]
FGF6,[1],[0.9983053]
FGF3,[1],[0.99825877]
MARK3,[1],[0.9982492]
NCOR1,[1],[0.99822277]
MAP2K7,[1],[0.99820447]
CFTR,[1],[0.99818474]
NR5A2,[1],[0.99816614]
SFN,[1],[0.9981104]
VAV3,[1],[0.9980964]
WNT10B,[1],[0.99808997]
PPP1R13B,[1],[0.9980849]
PRKCD,[1],[0.9980617]
