Gene,Predicted Label,Probability
TP53,[1],[1.]
CDC5L,[1],[1.]
NOTCH3,[1],[1.]
FAT4,[1],[1.]
ASH1L,[1],[1.]
NOS3,[1],[1.]
PIK3CA,[1],[1.]
PTPRD,[1],[1.]
TRIM28,[1],[1.]
MUC16,[1],[1.]
TTN,[1],[1.]
CASP8,[1],[1.]
MYCBP2,[1],[0.9999999]
RPS27A,[1],[0.99999976]
GNB1,[1],[0.9999951]
CFH,[1],[0.99999475]
KMT2D,[1],[0.9999939]
PTEN,[1],[0.99999356]
CTNNB1,[1],[0.99999285]
APC,[1],[0.99999154]
SMAD7,[1],[0.9999896]
UBA52,[1],[0.9999887]
RYR2,[1],[0.99998236]
PTCH1,[1],[0.9999796]
KRAS,[1],[0.99997735]
PER1,[1],[0.99997437]
ARID1A,[1],[0.9999713]
KMT2C,[1],[0.9999591]
EP300,[1],[0.9999584]
UBC,[1],[0.9999471]
EPHB4,[1],[0.99992955]
SYNE1,[1],[0.99992394]
KCNMB1,[1],[0.99981946]
SULF1,[1],[0.99977523]
BCOR,[1],[0.9997671]
ABCG2,[1],[0.9997172]
CREBBP,[1],[0.99968445]
ESR1,[1],[0.9996753]
UBB,[1],[0.9996716]
PCDHA7,[1],[0.9996221]
MAPK1,[1],[0.99958795]
DST,[1],[0.9994797]
GNGT1,[1],[0.999428]
PIK3R1,[1],[0.99941826]
GAB2,[1],[0.99938285]
USH2A,[1],[0.99935323]
APOB,[1],[0.9992048]
HSPA8,[1],[0.9991903]
ATM,[1],[0.99918896]
ATP7A,[1],[0.9991805]
CDH1,[1],[0.9991579]
FAT1,[1],[0.99914217]
NOTCH1,[1],[0.9990903]
RHOA,[1],[0.9990784]
AKT1,[1],[0.99905425]
SLC3A2,[1],[0.99870825]
DMD,[1],[0.9986848]
GNAL,[1],[0.99866796]
IL4R,[1],[0.9986431]
RAC1,[1],[0.9983273]
FLG,[1],[0.99812037]
C3,[1],[0.9979936]
SPTA1,[1],[0.9979309]
CACNA2D1,[1],[0.9976501]
HSP90AA1,[1],[0.99749386]
MACF1,[1],[0.997428]
PCLO,[1],[0.9973857]
ORC1,[1],[0.99709]
CDC42,[1],[0.99627554]
OBSCN,[1],[0.9957278]
STAT3,[1],[0.99533796]
IGF2BP1,[1],[0.9951314]
BRAF,[1],[0.9945868]
CUBN,[1],[0.99446553]
HRAS,[1],[0.99395376]
LRP2,[1],[0.9939464]
MEIS2,[1],[0.99363214]
NCOR1,[1],[0.9935747]
RYR3,[1],[0.99291384]
SPTAN1,[1],[0.9928042]
TRPA1,[1],[0.9927549]
TNRC6A,[1],[0.992753]
UBR4,[1],[0.9926036]
FBXW7,[1],[0.9922351]
SMAD4,[1],[0.9922051]
CLCA4,[1],[0.9903799]
MDM2,[1],[0.9903424]
VCAN,[1],[0.9896752]
JUN,[1],[0.98907846]
MUC4,[1],[0.98895884]
PBRM1,[1],[0.9886707]
ERBB2,[1],[0.9883713]
DNAH9,[1],[0.98792726]
PSAT1,[1],[0.98750466]
FN1,[1],[0.9874923]
KMT2A,[1],[0.9874472]
CSF1R,[1],[0.9864705]
THBS1,[1],[0.985107]
SRC,[1],[0.98500305]
RYR1,[1],[0.9848852]
COL1A2,[1],[0.9845821]
EGFR,[1],[0.9840772]
KDM6A,[1],[0.9837436]
SPOP,[1],[0.98341745]
CDKN1A,[1],[0.9833671]
AHNAK,[1],[0.9827722]
APP,[1],[0.9818703]
SYNE2,[1],[0.98158354]
ANK3,[1],[0.9812711]
AGO2,[1],[0.9809662]
NRAS,[1],[0.9808754]
GATA3,[1],[0.9808121]
ANK2,[1],[0.98068446]
ZFHX3,[1],[0.9805422]
ACTB,[1],[0.98012644]
MAP3K1,[1],[0.9800525]
NOTCH2,[1],[0.9799732]
RUNX1,[1],[0.97895265]
TGFBR2,[1],[0.97882813]
COL11A1,[1],[0.9785164]
AKAP9,[1],[0.9780132]
SETD2,[1],[0.97790897]
VHL,[1],[0.9776432]
CHD4,[1],[0.9776008]
RB1,[1],[0.9774999]
AR,[1],[0.97743315]
MAPK14,[1],[0.97703344]
KCNK9,[1],[0.97684973]
RIMS2,[1],[0.9768057]
MTOR,[1],[0.97625935]
PCDH15,[1],[0.9747206]
EGF,[1],[0.9743386]
VWF,[1],[0.974288]
COL1A1,[1],[0.9735266]
PLEC,[1],[0.9722983]
NEB,[1],[0.97218317]
ITGB1,[1],[0.9720525]
ITPR1,[1],[0.9715669]
TLN1,[1],[0.9713308]
TBP,[1],[0.97118]
HSPG2,[1],[0.96968216]
FBN1,[1],[0.9692821]
COL6A3,[1],[0.9692468]
TCF12,[1],[0.9691232]
SUMO1,[1],[0.9685516]
PRKDC,[1],[0.9685305]
CCND1,[1],[0.96837574]
LRRK2,[1],[0.9682598]
SMARCA4,[1],[0.9679161]
NF1,[1],[0.9671943]
SP1,[1],[0.96656525]
RXRA,[1],[0.96596855]
KDR,[1],[0.96584487]
COL5A1,[1],[0.9649616]
ARID2,[1],[0.96426487]
JAK1,[1],[0.9641103]
SPTBN1,[1],[0.9634541]
TNRC6B,[1],[0.9616553]
COL7A1,[1],[0.9615538]
DNAH11,[1],[0.9606891]
MYH9,[1],[0.9582033]
RNF213,[1],[0.95797]
USP9X,[1],[0.95720315]
KMT2B,[1],[0.95679575]
TRPS1,[1],[0.9554172]
SOS1,[1],[0.955192]
SNAP25,[1],[0.9550288]
MET,[1],[0.95486766]
FGFR3,[1],[0.95427287]
PPP2R1A,[1],[0.9521943]
LRP1,[1],[0.95192266]
FLNA,[1],[0.95179605]
HGF,[1],[0.9514083]
ADD2,[1],[0.95105654]
B2M,[1],[0.9502024]
SMAD3,[1],[0.9484186]
LAMA1,[1],[0.94792485]
FGF2,[1],[0.94789445]
TG,[1],[0.94751245]
NCOR2,[1],[0.94691944]
PLXNA4,[1],[0.9467008]
MUC5B,[1],[0.9466238]
DYNC1H1,[1],[0.9460872]
CDK1,[1],[0.94519633]
HDAC1,[1],[0.9446908]
ROBO1,[1],[0.94449353]
MED13,[1],[0.9443952]
MAPK3,[1],[0.94393045]
IGF1,[1],[0.9434958]
GLI3,[1],[0.9428861]
HERC2,[1],[0.9427557]
ACTN2,[1],[0.94123477]
COL12A1,[1],[0.9412122]
CTCF,[1],[0.9410693]
RANBP2,[1],[0.94083416]
IL6ST,[1],[0.94049025]
RELN,[1],[0.94023633]
SI,[1],[0.93915284]
BRCA2,[1],[0.93859476]
LAMC1,[1],[0.93740505]
SIX1,[1],[0.9370601]
FOS,[1],[0.9370049]
MDN1,[1],[0.9368081]
RELA,[1],[0.9367307]
SMAD2,[1],[0.93660706]
ITGB3,[1],[0.93660134]
NR3C1,[1],[0.9349618]
ITPR2,[1],[0.93488157]
MYH11,[1],[0.9339549]
PRKCA,[1],[0.93377405]
PLCG1,[1],[0.93357205]
CYCS,[1],[0.9330321]
F8,[1],[0.9327384]
HIF1A,[1],[0.9321552]
PTPRB,[1],[0.93167937]
MYC,[1],[0.9308023]
AGTR1,[1],[0.9300145]
TNC,[1],[0.9300135]
XRCC5,[1],[0.9299813]
STAG2,[1],[0.9299272]
ATR,[1],[0.9294557]
NCOA1,[1],[0.9274916]
GLI2,[1],[0.9271994]
SLIT2,[1],[0.92678386]
ADCY2,[1],[0.9266202]
BRCA1,[1],[0.92661524]
NRXN3,[1],[0.92653346]
ANK1,[1],[0.9258428]
KALRN,[1],[0.92533106]
CHD7,[1],[0.92517084]
COL4A5,[1],[0.9250086]
YWHAZ,[1],[0.92465574]
MGAM,[1],[0.9238426]
MED12,[1],[0.92379874]
HUWE1,[1],[0.9235941]
TP53BP1,[1],[0.92336667]
NFE2L2,[1],[0.9230122]
TPR,[1],[0.92270404]
LRP6,[1],[0.922411]
TLR4,[1],[0.92238843]
NFKB1,[1],[0.9223416]
VAMP2,[1],[0.92220354]
TRRAP,[1],[0.92156297]
DOCK2,[1],[0.92134655]
NRXN1,[1],[0.92111814]
ZNF208,[1],[0.92047197]
GRIN2A,[1],[0.9201637]
CCND2,[1],[0.9200775]
AGO1,[1],[0.919932]
DNAH3,[1],[0.91899055]
KRT4,[1],[0.91840523]
DNAH8,[1],[0.91769713]
STAT1,[1],[0.9175488]
PLCG2,[1],[0.91724527]
VAV3,[1],[0.9170441]
ALB,[1],[0.9168832]
L1CAM,[1],[0.91564286]
SPEN,[1],[0.91399133]
ERBB4,[1],[0.9138012]
IGF2R,[1],[0.9137969]
GRM5,[1],[0.91376513]
LAMB1,[1],[0.9131427]
ERBB3,[1],[0.9130937]
NFASC,[1],[0.91271037]
ITGAV,[1],[0.9115097]
GRIA1,[1],[0.91077495]
FYN,[1],[0.910408]
E2F1,[1],[0.91004467]
WDFY3,[1],[0.9099652]
RUNX1T1,[1],[0.90898883]
FANCM,[1],[0.9089733]
ITGA1,[1],[0.90884453]
KAT2B,[1],[0.9087605]
CDH23,[1],[0.90834296]
SRCAP,[1],[0.9075971]
