Gene,Predicted Label,Probability
BRAF,[1],[1.]
TTN,[1],[1.]
APC,[1],[1.]
CTNNB1,[1],[1.]
MUC16,[1],[1.]
PTEN,[1],[1.]
KRAS,[1],[1.]
PIK3CA,[1],[1.]
TP53,[1],[1.]
KMT2C,[1],[0.9999999]
KMT2D,[1],[0.9999999]
FLG,[1],[0.99999976]
VHL,[1],[0.99999964]
CDH1,[1],[0.99999905]
EP300,[1],[0.9999982]
FAT1,[1],[0.9999974]
RYR2,[1],[0.9999974]
LRP1B,[1],[0.9999881]
ATM,[1],[0.9999856]
FAT4,[1],[0.99997985]
NOTCH1,[1],[0.9999784]
LRP2,[1],[0.99996865]
PIK3R1,[1],[0.9999676]
SPTA1,[1],[0.9999633]
CREBBP,[1],[0.9999585]
OBSCN,[1],[0.99994946]
HRAS,[1],[0.9999441]
FBXW7,[1],[0.99991965]
MAP3K1,[1],[0.9998945]
PCLO,[1],[0.99981517]
FAT3,[1],[0.9997626]
DMD,[1],[0.9997446]
ERBB4,[1],[0.99956423]
ANK3,[1],[0.999561]
NRAS,[1],[0.99952674]
APOB,[1],[0.99937457]
NEB,[1],[0.9992593]
PCDH15,[1],[0.9991436]
SMAD4,[1],[0.9991291]
GATA3,[1],[0.9991204]
RYR3,[1],[0.9990884]
DNAH9,[1],[0.9990558]
HUWE1,[1],[0.99902415]
AKT1,[1],[0.9989938]
MAPK1,[1],[0.99877113]
SPOP,[1],[0.99869746]
RPS27A,[1],[0.9986822]
STAT1,[1],[0.99864775]
MUC5B,[1],[0.9986475]
MUC4,[1],[0.9982287]
UBC,[1],[0.9981673]
CASP8,[1],[0.99803215]
CHD4,[1],[0.99789494]
NCOR1,[1],[0.99788815]
ERBB2,[1],[0.9978033]
MTOR,[1],[0.99762964]
EGFR,[1],[0.99755055]
ZFHX3,[1],[0.99752253]
ERBB3,[1],[0.9973884]
COL11A1,[1],[0.9972646]
KMT2A,[1],[0.9971533]
RYR1,[1],[0.9969984]
LRP1,[1],[0.99699724]
COL6A3,[1],[0.99686676]
FGFR3,[1],[0.99667525]
KDM6A,[1],[0.99644274]
SPEN,[1],[0.9961563]
KMT2B,[1],[0.9960498]
RAC1,[1],[0.99599314]
NFE2L2,[1],[0.9956535]
TG,[1],[0.99534285]
USP9X,[1],[0.9953166]
RHOA,[1],[0.99526775]
PRKDC,[1],[0.9950932]
ATR,[1],[0.99505603]
AKAP9,[1],[0.99464166]
CUBN,[1],[0.99452895]
FN1,[1],[0.9945056]
ANK2,[1],[0.9943111]
RIMS2,[1],[0.99427927]
RNF213,[1],[0.9940473]
HTT,[1],[0.9940188]
NF1,[1],[0.9937822]
DNAH11,[1],[0.99373674]
GLI3,[1],[0.99373525]
RB1,[1],[0.9937283]
DNAH3,[1],[0.993236]
LRRK2,[1],[0.99300486]
SPTAN1,[1],[0.9925033]
ACTB,[1],[0.9923471]
JAK1,[1],[0.9919544]
ITPR2,[1],[0.99174577]
ATRX,[1],[0.9917454]
CDKN1A,[1],[0.9916957]
RELN,[1],[0.99153066]
PLK1,[1],[0.9914916]
DNAH8,[1],[0.9909373]
STAT3,[1],[0.9906455]
AMER1,[1],[0.99021417]
SMARCA4,[1],[0.990135]
