Gene,Predicted Label,Probability
RHOA,[1],[1.]
PCF11,[1],[1.]
MMP16,[1],[1.]
NUP205,[1],[1.]
PAXIP1,[1],[1.]
ACACA,[1],[1.]
ITGB4,[1],[1.]
MMP11,[1],[1.]
FBN1,[1],[1.]
IGF2R,[1],[1.]
RASGRF1,[1],[1.]
HIP1,[1],[1.]
FAT3,[1],[1.]
SMARCA4,[1],[1.]
PCDH10,[1],[1.]
GATA2,[1],[1.]
TOPBP1,[1],[1.]
PCDH18,[1],[1.]
PIN1,[1],[1.]
U2AF1,[1],[1.]
DNAJC27,[1],[1.]
OGT,[1],[1.]
PRLR,[1],[1.]
ITGAV,[1],[1.]
VAV3,[1],[1.]
IRAK1,[1],[1.]
CTNNB1,[1],[1.]
STAT3,[1],[1.]
NTRK2,[1],[1.]
INSRR,[1],[1.]
COP1,[1],[1.]
NCOA1,[1],[1.]
SPTAN1,[1],[1.]
ARHGEF4,[1],[1.]
SMC3,[1],[1.]
PLCG2,[1],[1.]
ETS1,[1],[1.]
HGS,[1],[1.]
HIF1A,[1],[1.]
IGFBP3,[1],[1.]
DAP3,[1],[1.]
ZNF479,[1],[1.]
NEFH,[1],[1.]
TACR1,[1],[1.]
SOX17,[1],[1.]
FGF18,[1],[1.]
DSE,[1],[1.]
PCDH15,[1],[1.]
RELN,[1],[1.]
IRS4,[1],[1.]
CUX1,[1],[1.]
KDR,[1],[1.]
ANK3,[1],[1.]
CREB1,[1],[1.]
AKT1,[1],[1.]
MAP1B,[1],[1.]
ATRX,[1],[1.]
ITK,[1],[1.]
NFIA,[1],[1.]
CSF3R,[1],[1.]
PLXNA4,[1],[1.]
MED1,[1],[1.]
PCDHB2,[1],[1.]
PCDHB3,[1],[1.]
PCDHB5,[1],[1.]
CUL1,[1],[1.]
PCDHB6,[1],[1.]
PCDHB7,[1],[1.]
HSPA8,[1],[1.]
TNXB,[1],[1.]
RB1,[1],[1.]
HEY2,[1],[1.]
RPS27A,[1],[1.]
TBX21,[1],[1.]
HLA-E,[1],[1.]
SOX9,[1],[1.]
TP53,[1],[1.]
IL7R,[1],[1.]
PCDHGA11,[1],[1.]
SULT2A1,[1],[1.]
PLXNA1,[1],[1.]
ABCA1,[1],[1.]
TEAD1,[1],[1.]
PCDHGA3,[1],[1.]
LAMA1,[1],[1.]
XPO1,[1],[1.]
ZMYM2,[1],[1.]
DNAH7,[1],[1.]
PCDHB16,[1],[1.]
RELA,[1],[1.]
TP53BP1,[1],[1.]
PCDHB15,[1],[1.]
PCDH9,[1],[1.]
CHD3,[1],[1.]
FNIP2,[1],[1.]
PCDHA3,[1],[1.]
RAF1,[1],[1.]
VWF,[1],[1.]
FGF3,[1],[1.]
PCLO,[1],[1.]
DNAH11,[1],[1.]
FZD6,[1],[1.]
GHR,[1],[1.]
ANK1,[1],[1.]
PCDHA6,[1],[1.]
FASLG,[1],[1.]
NCOR1,[1],[1.]
LTBP1,[1],[1.]
MED12,[1],[1.]
AIM2,[1],[1.]
DNM2,[1],[1.]
HOXB3,[1],[1.]
NUMA1,[1],[1.]
MALT1,[1],[1.]
KIAA1549,[1],[1.]
PCDHB12,[1],[1.]
TAL1,[1],[1.]
ATR,[1],[1.]
IL1R1,[1],[1.]
SFRP2,[1],[1.]
PHKA2,[1],[1.]
SIN3A,[1],[1.]
CHD4,[1],[1.]
MAF,[1],[1.]
LRP1B,[1],[1.]
TUBB6,[1],[1.]
CSGALNACT1,[1],[1.]
UBB,[1],[1.]
AKAP9,[1],[1.]
HIVEP3,[1],[1.]
POLA1,[1],[1.]
NRAS,[1],[1.]
