Gene,Predicted Label,Probability
RHOJ,[1],[1.]
MYH2,[1],[1.]
U2AF1L4,[1],[1.]
LAMA2,[1],[1.]
PTEN,[1],[1.]
NLRP3,[1],[1.]
SMARCC1,[1],[1.]
YWHAG,[1],[1.]
SMURF1,[1],[1.]
IL5,[1],[1.]
TGFB1,[1],[1.]
TLE2,[1],[1.]
CR1,[1],[1.]
UNC13B,[1],[1.]
NFATC2,[1],[1.]
PAG1,[1],[1.]
WNK4,[1],[1.]
RNF213,[1],[1.]
RHOQ,[1],[1.]
HTT,[1],[1.]
TBX21,[1],[1.]
LAMB1,[1],[1.]
CDKN2C,[1],[1.]
NRAS,[1],[1.]
SNCA,[1],[1.]
ITPR2,[1],[1.]
ITGB8,[1],[1.]
POU5F1,[1],[1.]
HSPG2,[1],[1.]
RAC3,[1],[1.]
USP9X,[1],[1.]
WNK1,[1],[1.]
PPARGC1A,[1],[1.]
RELN,[1],[1.]
KLF4,[1],[1.]
CCR6,[1],[1.]
WNK2,[1],[1.]
PPP3CB,[1],[1.]
MET,[1],[1.]
PLCB4,[1],[1.]
RBM8A,[1],[1.]
SUFU,[1],[1.]
IL4,[1],[1.]
EXOC4,[1],[1.]
CXCR3,[1],[1.]
TNFAIP3,[1],[1.]
PCDH15,[1],[1.]
IL6ST,[1],[1.]
CXCR2,[1],[1.]
ZC3H11A,[1],[1.]
TEC,[1],[1.]
NFATC3,[1],[1.]
THBS4,[1],[1.]
KLK3,[1],[1.]
TBL1X,[1],[1.]
IRS1,[1],[1.]
CDKN2B,[1],[1.]
TOPBP1,[1],[1.]
TRAF6,[1],[1.]
THBS3,[1],[1.]
HUWE1,[1],[1.]
RPTOR,[1],[1.]
OBSCN,[1],[1.]
LRP2,[1],[1.]
APOB,[1],[1.]
SARNP,[1],[1.]
CCR7,[1],[1.]
SMARCC2,[1],[1.]
SMAD2,[1],[1.]
EIF4EBP1,[1],[1.]
SOS2,[1],[1.]
ESPL1,[1],[1.]
MMP9,[1],[1.]
SEMA3A,[1],[1.]
GRIN2B,[1],[1.]
PLCB3,[1],[1.]
RIMS1,[1],[1.]
RMI2,[1],[1.]
PARP1,[1],[1.]
IGF2,[1],[1.]
TYROBP,[1],[1.]
EP300,[1],[1.]
IL6,[1],[1.]
PPP2CA,[1],[1.]
RDX,[1],[1.]
TLR7,[1],[1.]
PRKCB,[1],[1.]
RAC1,[1],[1.]
SMAD3,[1],[1.]
RAB8A,[1],[1.]
PRKCD,[1],[1.]
TLR4,[1],[1.]
KMT2C,[1],[1.]
ROCK2,[1],[1.]
FN1,[1],[1.]
BRAF,[1],[1.]
TRADD,[1],[1.]
RBPJ,[1],[1.]
VLDLR,[1],[1.]
MAML3,[1],[1.]
IL1RL1,[1],[1.]
PREX1,[1],[1.]
PLG,[1],[1.]
WNT5A,[1],[1.]
PXN,[1],[1.]
GNA11,[1],[1.]
RECK,[1],[1.]
PICK1,[1],[1.]
AKT1,[1],[1.]
SHC4,[1],[1.]
SRSF9,[1],[1.]
IL24,[1],[1.]
PPP2R1A,[1],[1.]
SHH,[1],[1.]
PAN3,[1],[1.]
SOST,[1],[1.]
SHC2,[1],[1.]
MSN,[1],[1.]
CALR,[1],[1.]
LAMB4,[1],[1.]
SPRY1,[1],[1.]
VEGFA,[1],[1.]
WNT3A,[1],[1.]
NOTCH1,[1],[1.]
FAT4,[1],[1.]
ROCK1,[1],[1.]
ST14,[1],[1.]
YES1,[1],[1.]
SHB,[1],[1.]
TTN,[1],[1.]
NOTCH2,[1],[1.]
RHOC,[1],[1.]
TEAD3,[1],[1.]
ITK,[1],[1.]
THOC6,[1],[1.]
MPL,[1],[1.]
RUNX3,[1],[1.]
KMT2D,[1],[1.]
FLT1,[1],[1.]
IL23A,[1],[1.]
STAG2,[1],[1.]
UBE2B,[1],[1.]
SRSF2,[1],[1.]
SRC,[1],[1.]
PLCG1,[1],[1.]
PIK3R6,[1],[1.]
PRKCZ,[1],[1.]
GATA3,[1],[1.]
MAP2K1,[1],[1.]
SAP30,[1],[1.]
RASA1,[1],[1.]
THPO,[1],[1.]
FREM2,[1],[1.]
MYLK3,[1],[1.]
PTPN12,[1],[1.]
KDM6A,[1],[1.]
CCR9,[1],[1.]
ERBB2,[1],[1.]
LGMN,[1],[1.]
RB1,[1],[1.]
PLK1,[1],[1.]
NCOA3,[1],[1.]
WDR48,[1],[1.]
PRKDC,[1],[1.]
MAPK1,[1],[1.]
EPHA2,[1],[1.]
PIK3R2,[1],[1.]
TFDP1,[1],[1.]
DNAH7,[1],[1.]
TP73,[1],[1.]
RTEL1,[1],[1.]
PDGFB,[1],[1.]
CREBBP,[1],[1.]
SMAD4,[1],[1.]
THOC3,[1],[1.]
DNAH2,[1],[1.]
FGFR1,[1],[1.]
PIK3R1,[1],[1.]
C1S,[1],[1.]
ROBO2,[1],[1.]
WNT1,[1],[1.]
SPRY2,[1],[1.]
UBE2N,[1],[1.]
TEK,[1],[1.]
TEX15,[1],[1.]
SPIDR,[1],[1.]
EEF2K,[1],[1.]
SRSF1,[1],[1.]
RFXANK,[1],[1.]
USP1,[1],[1.]
TG,[1],[1.]
ZAP70,[1],[1.]
RAC2,[1],[1.]
CDH1,[1],[1.]
UBB,[1],[1.]
KL,[1],[1.]
DNAH3,[1],[1.]
ERBB4,[1],[1.]
LEPR,[1],[1.]
PCLO,[1],[1.]
RXRB,[1],[1.]
TEAD1,[1],[1.]
NRG1,[1],[1.]
UBE2D1,[1],[1.]
PRKACA,[1],[1.]
ATM,[1],[1.]
STAT5A,[1],[1.]
TFPT,[1],[1.]
RAPGEF1,[1],[1.]
ITGB1,[1],[1.]
TCF7L2,[1],[1.]
PIK3CB,[1],[1.]
RARA,[1],[1.]
IL7,[1],[1.]
P4HB,[1],[1.]
PGF,[1],[1.]
RFX5,[1],[1.]
KCNJ3,[1],[1.]
RET,[1],[1.]
KCNJ9,[1],[1.]
NPPB,[1],[1.]
RAB3GAP2,[1],[1.]
NFATC1,[1],[1.]
EPHB1,[1],[1.]
SOCS3,[1],[1.]
KCNJ5,[1],[1.]
LCK,[1],[1.]
TGFBR2,[1],[1.]
TSPAN7,[1],[1.]
TNF,[1],[1.]
RELB,[1],[1.]
PDGFRB,[1],[1.]
MMP19,[1],[1.]
RNF43,[1],[1.]
FBXW7,[1],[1.]
PRKAR1A,[1],[1.]
PTK2,[1],[1.]
HLA-DRB5,[1],[1.]
LRRC7,[1],[1.]
LCP2,[1],[1.]
PTPRB,[1],[1.]
LEP,[1],[1.]
SRSF6,[1],[1.]
THOC5,[1],[1.]
PPARG,[1],[1.]
STK3,[1],[1.]
MST1R,[1],[1.]
PCOLCE2,[1],[1.]
IL2RG,[1],[1.]
PIK3R3,[1],[1.]
LAMA4,[1],[1.]
WRN,[1],[1.]
PRSS1,[1],[1.]
CCR2,[1],[1.]
STAT6,[1],[1.]
CUBN,[1],[1.]
CDKN1A,[1],[1.]
IL3,[1],[1.]
NSF,[1],[1.]
CLTC,[1],[1.]
SHC1,[1],[1.]
FAT1,[1],[1.]
IGHV3-11,[1],[1.]
NR3C2,[1],[1.]
TXN,[1],[1.]
JAK3,[1],[1.]
PYCARD,[1],[1.]
GRIA1,[1],[1.]
JAK1,[1],[1.]
IL1RAP,[1],[1.]
GLI3,[1],[1.]
LAMA5,[1],[1.]
LIMK1,[1],[1.]
TEAD4,[1],[1.]
IL5RA,[1],[1.]
USP8,[1],[1.]
SLU7,[1],[1.]
ERBB3,[1],[1.]
DMD,[1],[1.]
CX3CR1,[1],[1.]
THOC7,[1],[1.]
TEAD2,[1],[1.]
PPARGC1B,[1],[1.]
NFYA,[1],[1.]
RAB5A,[1],[1.]
KDR,[1],[1.]
TRAF3,[1],[1.]
MED12,[1],[1.]
EDN1,[1],[1.]
TGFA,[1],[1.]
DNAH9,[1],[1.]
THBS2,[1],[1.]
TGFB3,[1],[1.]
TNFRSF11A,[1],[1.]
IL7R,[1],[1.]
PAK1,[1],[1.]
STAT3,[1],[1.]
NCOR1,[1],[1.]
PRLR,[1],[1.]
TBL1XR1,[1],[1.]
IL21,[1],[1.]
CXCR4,[1],[1.]
SOS1,[1],[1.]
IGFBP3,[1],[1.]
FYN,[1],[1.]
MMP20,[1],[1.]
PRKAR2B,[1],[1.]
KRAS,[1],[1.]
NFE2L2,[1],[1.]
NR3C1,[1],[1.]
COL11A1,[1],[1.]
TYK2,[1],[1.]
TREM2,[1],[1.]
DNAH11,[1],[1.]
NFKB2,[1],[1.]
STAT1,[1],[1.]
IL22,[1],[1.]
TLL1,[1],[1.]
RXRA,[1],[1.]
PIK3CG,[1],[1.]
RFXAP,[1],[1.]
NGFR,[1],[1.]
RNPS1,[1],[1.]
PRKAR1B,[1],[1.]
RYR2,[1],[1.]
PTPN1,[1],[1.]
XPO1,[1],[1.]
MYLK,[1],[1.]
RAP1B,[1],[1.]
JUN,[1],[1.]
NTRK2,[1],[1.]
TP53,[1],[1.]
PTPN6,[1],[1.]
RHOB,[1],[1.]
KCNJ6,[1],[1.]
RRAS2,[1],[1.]
PLAUR,[1],[1.]
SMO,[1],[1.]
NFKB1,[1],[1.]
REST,[1],[1.]
STAT4,[1],[1.]
TLE1,[1],[1.]
RNASEL,[1],[1.]
CENPF,[1],[1.]
SREBF1,[1],[1.]
WNT8B,[1],[1.]
WWP1,[1],[1.]
SPP1,[1],[1.]
MAP3K1,[1],[1.]
ANK2,[1],[1.]
NODAL,[1],[1.]
NCOR2,[1],[1.]
GNA13,[1],[1.]
SRSF3,[1],[1.]
RPS6KA5,[1],[1.]
TLE4,[1],[1.]
ITGAV,[1],[1.]
MYOD1,[1],[1.]
PLCG2,[1],[1.]
SLA,[1],[1.]
MAP2K4,[1],[1.]
ACTR2,[1],[1.]
TLR6,[1],[1.]
FOXA1,[1],[1.]
NOS1,[1],[1.]
CCR8,[1],[1.]
RELA,[1],[1.]
THRAP3,[1],[1.]
ITGA3,[1],[1.]
PTCH2,[1],[1.]
YY1,[1],[1.]
RYR1,[1],[1.]
PLEC,[1],[1.]
RAD21,[1],[1.]
CCR4,[1],[1.]
TBC1D4,[1],[1.]
TRAF5,[1],[1.]
ZBTB17,[1],[1.]
YWHAE,[1],[1.]
PTK2B,[1],[1.]
NOS2,[1],[1.]
LAMB2,[1],[1.]
THBS1,[1],[1.]
PPP1R12B,[1],[1.]
RIMS2,[1],[1.]
FAT3,[1],[1.]
XRCC1,[1],[1.]
FGFR2,[1],[1.]
RRAS,[1],[1.]
TNFSF10,[1],[1.]
PPP1R12A,[1],[1.]
SNAP23,[1],[1.]
RAB18,[1],[1.]
ANK3,[1],[1.]
MYC,[1],[1.]
ITGA2B,[1],[1.]
SOCS1,[1],[1.]
NF2,[1],[1.]
SLX4,[1],[1.]
ZNRF2,[1],[1.]
GRIN2A,[1],[1.]
PLCB2,[1],[1.]
WNT8A,[1],[1.]
SH3GL2,[1],[1.]
HSP90AB1,[1],[1.]
TOLLIP,[1],[1.]
XYLT1,[1],[1.]
MDM4,[1],[1.]
LY96,[1],[1.]
MUC5B,[1],[1.]
TRIM28,[1],[1.]
NOTCH3,[1],[1.]
MMP13,[1],[1.]
TBXA2R,[1],[1.]
MUC4,[1],[1.]
SIN3A,[1],[1.]
SPHK2,[1],[1.]
CASP8,[1],[1.]
RGS1,[1],[1.]
ITGA1,[1],[1.]
MMP10,[1],[1.]
VCP,[1],[1.]
MUC16,[1],[1.]
SORT1,[1],[1.]
LRP1,[1],[1.]
ITGA2,[1],[1.]
WASF2,[1],[1.]
LAMC3,[1],[1.]
FAM20A,[1],[1.]
SRRM1,[1],[1.]
CCR10,[1],[1.]
SPOCK3,[1],[1.]
LAMA1,[1],[1.]
ITPR3,[1],[1.]
ITGA5,[1],[1.]
SRSF5,[1],[1.]
RPGRIP1L,[1],[1.]
SP1,[1],[1.]
LIFR,[1],[1.]
CD58,[1],[1.]
VDR,[1],[1.]
AKAP9,[1],[1.]
PDGFRA,[1],[1.]
SOX9,[1],[1.]
UBC,[1],[1.]
TDGF1,[1],[1.]
YAP1,[1],[1.]
PTPN2,[1],[1.]
SRSF4,[1],[1.]
TP63,[1],[1.]
PIK3R5,[1],[1.]
NCSTN,[1],[1.]
SIGIRR,[1],[1.]
PDGFD,[1],[1.]
TLE3,[1],[1.]
SAT1,[1],[1.]
MTOR,[1],[1.]
P4HA2,[1],[1.]
UBA6,[1],[1.]
LAMA3,[1],[1.]
RNF111,[1],[1.]
COL6A3,[1],[1.]
UHRF2,[1],[1.]
SDC4,[1],[1.]
WNT4,[1],[1.]
RUNX2,[1],[1.]
TCF7L1,[1],[1.]
STAG1,[1],[1.]
WNK3,[1],[1.]
PLCB1,[1],[1.]
TOP3A,[1],[1.]
CCR3,[1],[1.]
TGFB2,[1],[1.]
SPTAN1,[1],[1.]
THOC1,[1],[1.]
SMC3,[1],[1.]
SDC1,[1],[1.]
VAV2,[1],[1.]
RHOG,[1],[1.]
VAV3,[1],[1.]
PRKG2,[1],[1.]
CCR5,[1],[1.]
MMP3,[1],[1.]
UBE2D2,[1],[1.]
TCF7,[1],[1.]
IL9,[1],[1.]
PCSK6,[1],[1.]
SRSF11,[1],[1.]
SPTA1,[1],[1.]
BRCA2,[1],[1.]
TLR2,[1],[1.]
SRF,[1],[1.]
SDC2,[1],[1.]
SMC1A,[1],[1.]
RHOD,[1],[1.]
PLK2,[1],[1.]
SALL4,[1],[1.]
SYK,[1],[1.]
FLG,[1],[1.]
HSP90AA1,[1],[1.]
IRAK4,[1],[1.]
LRP1B,[1],[1.]
VHL,[1],[1.]
TJP1,[1],[1.]
TGFBR1,[1],[1.]
PRKG1,[1],[1.]
JAK2,[1],[1.]
MAF,[1],[1.]
PIK3CA,[1],[1.]
TSLP,[1],[1.]
GNAQ,[1],[1.]
PPARA,[1],[1.]
RHOA,[1],[1.]
LAMB3,[1],[1.]
PBX1,[1],[1.]
SH2B3,[1],[1.]
PTPRC,[1],[1.]
SMARCA4,[1],[1.]
PRL,[1],[1.]
MMP7,[1],[1.]
FBN2,[1],[1.]
PKN2,[1],[1.]
MMP1,[1],[1.]
PRKCQ,[1],[1.]
OSM,[1],[1.]
PTPN22,[1],[1.]
PTPRJ,[1],[1.]
TGIF1,[1],[1.]
TRAF2,[1],[1.]
CRTAP,[1],[1.]
FOS,[1],[1.]
SRI,[1],[1.]
RAPGEF2,[1],[1.]
UBE2D3,[1],[1.]
PTPN13,[1],[1.]
SEPTIN2,[1],[1.]
PIK3CD,[1],[1.]
PDYN,[1],[1.]
PSEN1,[1],[1.]
XYLT2,[1],[1.]
CTNNB1,[1],[1.]
LYN,[1],[1.]
IGF1,[1],[1.]
SPEN,[1],[1.]
RANBP2,[1],[1.]
PRKCA,[1],[1.]
TFDP2,[1],[1.]
LRRK2,[1],[1.]
VAV1,[1],[1.]
TNFAIP8,[1],[1.]
VCAM1,[1],[1.]
ITGA11,[1],[1.]
DNAJC27,[1],[1.]
KMT2B,[1],[1.]
U2AF1,[1],[1.]
SRSF7,[1],[1.]
TLE5,[1],[1.]
NEB,[1],[1.]
AMER1,[1],[1.]
APC,[1],[1.]
MAP2K2,[1],[1.]
ZFHX3,[1],[1.]
TNFRSF1A,[1],[1.]
EGFR,[1],[1.]
HCLS1,[1],[1.]
RAF1,[1],[1.]
SHC3,[1],[1.]
GNAS,[1],[1.]
PDCD1,[1],[1.]
MMP2,[1],[1.]
THOC2,[1],[1.]
MITF,[1],[1.]
PPP3CA,[1],[1.]
P4HA1,[1],[1.]
RYR3,[1],[1.]
UPF3B,[1],[1.]
CXCR6,[1],[1.]
NTRK1,[1],[1.]
STK11,[1],[1.]
MUC20,[1],[1.]
LIF,[1],[1.]
PPIB,[1],[1.]
KMT2A,[1],[1.]
HRAS,[1],[1.]
CXCR5,[1],[1.]
P3H1,[1],[1.]
ROBO1,[1],[1.]
UBE2L6,[1],[1.]
PTCH1,[1],[1.]
PTPN11,[1],[1.]
LAMC1,[1],[1.]
PPP1CA,[1],[1.]
NFYB,[1],[1.]
LAMC2,[1],[1.]
RUVBL1,[1],[1.]
DCN,[1],[1.]
TRAF1,[1],[1.]
WASL,[1],[1.]
PTPRE,[1],[1.]
NRG4,[1],[1.]
SAT2,[1],[1.]
POLDIP3,[1],[1.]
ITGA6,[1],[1.]
CCR1,[1],[1.]
STAT5B,[1],[1.]
TLR9,[1],[1.]
LAT,[1],[1.]
WNT5B,[1],[1.]
NFYC,[1],[1.]
FGFR3,[1],[1.]
INSR,[1],[0.9999999]
NTRK3,[1],[0.9999999]
CDKN2A,[1],[0.9999999]
RIPK1,[1],[0.9999999]
MAML2,[1],[0.9999999]
NAB2,[1],[0.9999999]
CCNB2,[1],[0.9999999]
