Gene,Predicted Label,Probability
A1CF,[1],[0.99999976]
CCND2,[1],[0.99999964]
POU5F1,[1],[0.99999964]
TEK,[1],[0.9999994]
KRAS,[1],[0.9999993]
ABCB1,[1],[0.9999988]
MDK,[1],[0.9999987]
KDR,[1],[0.9999987]
SOX2,[1],[0.99999845]
FLT4,[1],[0.99999833]
PTN,[1],[0.999998]
CDKN2A,[1],[0.9999974]
HRAS,[1],[0.99999714]
MET,[1],[0.999997]
KIT,[1],[0.99999595]
INSR,[1],[0.9999957]
ADCYAP1R1,[1],[0.9999957]
SUV39H1,[1],[0.9999957]
NRAS,[1],[0.99999535]
RAC1,[1],[0.9999951]
GNAS,[1],[0.9999951]
IGF1R,[1],[0.9999951]
RRM2,[1],[0.9999944]
POU5F1B,[1],[0.99999404]
NR6A1,[1],[0.9999937]
FLT1,[1],[0.9999937]
ELK1,[1],[0.9999937]
SRC,[1],[0.9999937]
RHOA,[1],[0.9999926]
CDKN1B,[1],[0.99999166]
TNK2,[1],[0.9999901]
PTK2,[1],[0.9999883]
PDGFRB,[1],[0.9999881]
PTPRZ1,[1],[0.99998724]
FYN,[1],[0.9999869]
ERCC2,[1],[0.9999844]
PIK3CA,[1],[0.999984]
FLT3,[1],[0.9999831]
RTEL1,[1],[0.99998295]
H4C1,[1],[0.9999827]
NGFR,[1],[0.99998045]
ERBB4,[1],[0.9999801]
CDKN2D,[1],[0.9999801]
CYP1A1,[1],[0.99997807]
RHOB,[1],[0.99997795]
FGFR3,[1],[0.9999776]
FGFR4,[1],[0.9999776]
COMP,[1],[0.999977]
ARNT2,[1],[0.999977]
FGFR2,[1],[0.99997675]
CYP1B1,[1],[0.99997663]
RHOC,[1],[0.9999752]
NPPA,[1],[0.9999745]
CCNH,[1],[0.9999732]
PTK2B,[1],[0.999972]
GIP,[1],[0.9999713]
CDK7,[1],[0.9999689]
TRAF6,[1],[0.999967]
JUN,[1],[0.9999609]
PIK3R1,[1],[0.9999602]
CGA,[1],[0.999959]
IRAK1,[1],[0.99995863]
ERBB2,[1],[0.9999558]
CDKN1A,[1],[0.99995494]
CDKN2C,[1],[0.99995196]
FGFR1,[1],[0.99995124]
PDGFRA,[1],[0.9999472]
FSHB,[1],[0.9999471]
ARNT,[1],[0.99993587]
NUBP2,[1],[0.9999342]
VIP,[1],[0.9999342]
NUBP1,[1],[0.9999342]
TSHB,[1],[0.9999341]
GPR119,[1],[0.99993145]
EPHA2,[1],[0.99992895]
E2F4,[1],[0.99992883]
PRKCQ,[1],[0.9999242]
IL33,[1],[0.9999223]
IRAK4,[1],[0.9999187]
IL1RL1,[1],[0.9999175]
ERBB3,[1],[0.9999169]
SHC1,[1],[0.99991643]
E2F5,[1],[0.9999163]
SALL4,[1],[0.9999157]
STAT5A,[1],[0.9999136]
UBC,[1],[0.9999124]
UBB,[1],[0.9999118]
NPR1,[1],[0.9999012]
MYC,[1],[0.9998988]
ITGAV,[1],[0.9998956]
CRK,[1],[0.99989533]
IL1RAP,[1],[0.99989367]
ITGB3,[1],[0.9998921]
CDH17,[1],[0.9998913]
ITGA8,[1],[0.9998877]
RXRA,[1],[0.9998852]
CHD9,[1],[0.99988246]
SOS1,[1],[0.99988043]
GLRX,[1],[0.9998764]
GRK3,[1],[0.99987614]
RBL1,[1],[0.99987555]
FSHR,[1],[0.99987316]
GIPR,[1],[0.99987066]
GLP1R,[1],[0.99987066]
GRK7,[1],[0.99986875]
RET,[1],[0.9998684]
PRKCB,[1],[0.99986076]
ECT2,[1],[0.99986017]
GCG,[1],[0.99985635]
GRK5,[1],[0.99985576]
EGFR,[1],[0.9998491]
STAT5B,[1],[0.9998417]
MYD88,[1],[0.9998406]
NFKB1,[1],[0.9998385]
ITGB1,[1],[0.9998325]
DHH,[1],[0.9998228]
VIPR2,[1],[0.9998217]
MC2R,[1],[0.9998216]
GRK4,[1],[0.9998204]
PRKCA,[1],[0.9998191]
APOBEC1,[1],[0.99981636]
PLK1,[1],[0.99981076]
AHRR,[1],[0.9998104]
HTR4,[1],[0.99981016]
HTR6,[1],[0.99981016]
GRK1,[1],[0.9998074]
RBL2,[1],[0.9998061]
CDKN2B,[1],[0.99980336]
H3-3A,[1],[0.9997917]
MAPK1,[1],[0.99978775]
PRKCH,[1],[0.9997867]
GRK6,[1],[0.99978405]
H3C1,[1],[0.99978274]
STAT3,[1],[0.9997781]
ADRB1,[1],[0.999777]
CSF1,[1],[0.9997532]
CDC25A,[1],[0.9997502]
MYL9,[1],[0.9997433]
ADORA2B,[1],[0.9997427]
TOP3A,[1],[0.9997408]
MAPK3,[1],[0.9997389]
LYN,[1],[0.9997367]
CHRDL1,[1],[0.99973637]
ITGA3,[1],[0.99973136]
ITGB5,[1],[0.99972314]
ITGA7,[1],[0.99972314]
ITGA11,[1],[0.99972314]
ITGA10,[1],[0.99972314]
ITGB7,[1],[0.99972314]
ITGA4,[1],[0.99972314]
ITGA9,[1],[0.99972314]
ITGB8,[1],[0.99972314]
ELMO2,[1],[0.9997224]
ELMO1,[1],[0.9997217]
ITGA2,[1],[0.99971443]
TP53,[1],[0.9997106]
POMC,[1],[0.99970704]
RAB8A,[1],[0.9997049]
ITGB6,[1],[0.9996991]
PARP14,[1],[0.9996983]
JAK2,[1],[0.9996946]
PDGFB,[1],[0.9996902]
ITGA5,[1],[0.9996842]
ITGA1,[1],[0.9996828]
SULT2A1,[1],[0.99967706]
PXN,[1],[0.9996753]
PTPN6,[1],[0.99967515]
GRB2,[1],[0.9996679]
MYL6,[1],[0.9996668]
TSHR,[1],[0.99966204]
MYH11,[1],[0.9996606]
NEK2,[1],[0.99964666]
CDX2,[1],[0.99964035]
MYLPF,[1],[0.9996302]
NCOA1,[1],[0.9996209]
PRKCG,[1],[0.99961925]
PTPN11,[1],[0.99961746]
GNAL,[1],[0.9996147]
ITGA2B,[1],[0.99960905]
RASA1,[1],[0.99959785]
CARM1,[1],[0.9995975]
ITGA6,[1],[0.9995927]
ITGB4,[1],[0.9995927]
ALB,[1],[0.9995926]
FOXO3,[1],[0.99958044]
PCNA,[1],[0.9995765]
ALK,[1],[0.9995758]
CSF1R,[1],[0.99957377]
NTRK1,[1],[0.99957293]
SPP1,[1],[0.99956197]
POLD1,[1],[0.99956185]
STAT6,[1],[0.99954516]
CLTC,[1],[0.9995394]
RELA,[1],[0.99953866]
FOXO4,[1],[0.99953365]
FOXO6,[1],[0.9995208]
CHUK,[1],[0.99951947]
IRS1,[1],[0.9995128]
CLTCL1,[1],[0.9995084]
CDC42,[1],[0.99950683]
SEPTIN2,[1],[0.9994968]
LEF1,[1],[0.9994962]
EGR2,[1],[0.99949527]
CTNNB1,[1],[0.99948967]
VEGFA,[1],[0.99948776]
MST1R,[1],[0.99946564]
EGLN3,[1],[0.99946207]
PPARA,[1],[0.9994617]
THBS2,[1],[0.9994254]
THBS3,[1],[0.9994254]
THBS4,[1],[0.9994254]
MYL12B,[1],[0.99942327]
TCF7,[1],[0.9994072]
EID3,[1],[0.99939966]
TEAD3,[1],[0.9993911]
TEAD1,[1],[0.9993911]
TEAD4,[1],[0.99939096]
TEAD2,[1],[0.99939096]
IHH,[1],[0.9993856]
IRF4,[1],[0.99937636]
BAP1,[1],[0.9993692]
CPT1C,[1],[0.99935204]
PPARG,[1],[0.99935204]
CPT1A,[1],[0.99935204]
CPT1B,[1],[0.9993519]
GSK3B,[1],[0.99932086]
HIF1A,[1],[0.99930954]
RAC2,[1],[0.99930537]
FOXO1,[1],[0.999305]
TCF7L2,[1],[0.9993019]
SHC3,[1],[0.9993006]
NTRK3,[1],[0.9992747]
MYL7,[1],[0.99927]
GNB1,[1],[0.9992681]
RMI2,[1],[0.99924636]
ARHGAP11A,[1],[0.99923027]
ACSL6,[1],[0.999225]
PRKCE,[1],[0.9991874]
PKN3,[1],[0.99915946]
MYL6B,[1],[0.9991571]
GFRA2,[1],[0.99914527]
MECP2,[1],[0.9991442]
TCF7L1,[1],[0.9991297]
LHCGR,[1],[0.9991235]
INSRR,[1],[0.9991054]
ALDH3A1,[1],[0.9990833]
NCOA2,[1],[0.99907756]
YES1,[1],[0.9990758]
FREM1,[1],[0.99904627]
PRKCI,[1],[0.99903345]
RMI1,[1],[0.99903154]
ADCYAP1,[1],[0.9989967]
RXRB,[1],[0.9989963]
THBS1,[1],[0.99898356]
SYK,[1],[0.9989648]
FGR,[1],[0.99893314]
PIK3CD,[1],[0.9989309]
PIK3CB,[1],[0.99890697]
RHOG,[1],[0.9988563]
MYH9,[1],[0.99881434]
LCK,[1],[0.9987765]
NANOG,[1],[0.9987413]
FGF9,[1],[0.99873716]
JAK1,[1],[0.99871016]
PKN2,[1],[0.9986708]
CRKL,[1],[0.9986331]
UBA52,[1],[0.9986168]
DOCK1,[1],[0.99859923]
BCAR1,[1],[0.99858093]
FRS2,[1],[0.9985655]
CIAO2B,[1],[0.9985605]
CIAO3,[1],[0.9985605]
CIAO1,[1],[0.9985461]
CREBBP,[1],[0.9985403]
MNAT1,[1],[0.9985]
RAP2C,[1],[0.99848676]
FGF8,[1],[0.998478]
PRKCD,[1],[0.99847037]
TBL1XR1,[1],[0.99845517]
TBL1X,[1],[0.99845517]
MMP9,[1],[0.9984534]
SHC2,[1],[0.99844956]
PTPN12,[1],[0.9984485]
EBF1,[1],[0.99844736]
DRD5,[1],[0.99843234]
DRD1,[1],[0.9984314]
NCOA6,[1],[0.9984232]
SLX1A,[1],[0.9984036]
SPIDR,[1],[0.9984036]
SLX4,[1],[0.9984035]
BCL9,[1],[0.998376]
HCK,[1],[0.9983728]
VEGFB,[1],[0.9983096]
PRKCZ,[1],[0.9982844]
RAC3,[1],[0.99827874]
FOS,[1],[0.99825937]
RPS27A,[1],[0.9982235]
RPS6KB1,[1],[0.99822265]
STAT1,[1],[0.99817836]
VEGFD,[1],[0.99813783]
VEGFC,[1],[0.99813783]
IL6,[1],[0.99812394]
BRCA1,[1],[0.9981172]
HGF,[1],[0.9981154]
MMP2,[1],[0.9980958]
SUV39H2,[1],[0.99809104]
CHAD,[1],[0.99808735]
SETDB2,[1],[0.9980769]
SETD1B,[1],[0.99805593]
GNAQ,[1],[0.9979929]
MYL5,[1],[0.9979526]
MYL12A,[1],[0.99794585]
IGF1,[1],[0.99793124]
CYSLTR1,[1],[0.997926]
