Gene,Predicted Label,Probability
APC,[1],[1.]
KMT2C,[1],[1.]
KRAS,[1],[1.]
PIK3CA,[1],[1.]
OBSCN,[1],[1.]
KMT2D,[1],[1.]
WNT8B,[1],[1.]
LRP1B,[1],[1.]
NRAS,[1],[1.]
SPOP,[1],[1.]
FAT4,[1],[1.]
MUC16,[1],[1.]
TP53,[1],[1.]
VHL,[1],[1.]
VAV3,[1],[1.]
TTN,[1],[1.]
PTEN,[1],[1.]
MAP3K1,[1],[1.]
WNT8A,[1],[1.]
CDH1,[1],[1.]
FLG,[1],[1.]
CTNNB1,[1],[1.]
ZAP70,[1],[1.]
WNT1,[1],[1.]
GATA3,[1],[1.]
FBXW7,[1],[1.]
FAT1,[1],[1.]
BRAF,[1],[1.]
PIK3R1,[1],[1.]
YES1,[1],[1.]
RYR2,[1],[0.9999999]
HRAS,[1],[0.9999999]
NOTCH1,[1],[0.9999999]
EP300,[1],[0.99999976]
SPTA1,[1],[0.99999964]
WNT5B,[1],[0.9999993]
ATM,[1],[0.99999917]
LRP2,[1],[0.9999988]
FAT3,[1],[0.99999845]
FGFR3,[1],[0.99999785]
STAT3,[1],[0.99999726]
SOX9,[1],[0.99999714]
SMAD4,[1],[0.999997]
PCLO,[1],[0.999997]
KDM6A,[1],[0.99999523]
DMD,[1],[0.9999949]
STAG2,[1],[0.9999932]
KMT2B,[1],[0.9999925]
TEK,[1],[0.9999893]
AKT1,[1],[0.99998665]
WNT3A,[1],[0.9999857]
VEGFA,[1],[0.99998224]
ZFHX3,[1],[0.99997926]
RHOA,[1],[0.99997807]
CREBBP,[1],[0.99997747]
TCF7,[1],[0.99997056]
UBE2N,[1],[0.9999703]
TRAF6,[1],[0.9999653]
FOXA1,[1],[0.9999608]
UBC,[1],[0.99995494]
SPEN,[1],[0.9999546]
SRC,[1],[0.9999496]
TAF1,[1],[0.99994874]
APOB,[1],[0.9999391]
SPP1,[1],[0.99993217]
USP9X,[1],[0.9999168]
RYR3,[1],[0.9999125]
SOS1,[1],[0.9999114]
VAV1,[1],[0.9999074]
TCF7L1,[1],[0.9999052]
VAV2,[1],[0.9999019]
MUC5B,[1],[0.999899]
NCOR1,[1],[0.999858]
THBS1,[1],[0.999856]
SYK,[1],[0.9998486]
MAPK1,[1],[0.99984324]
HUWE1,[1],[0.9998274]
SOS2,[1],[0.9998197]
RET,[1],[0.99981445]
RELN,[1],[0.99981123]
WNT4,[1],[0.999806]
STAT6,[1],[0.99978346]
NEB,[1],[0.9997819]
ANK3,[1],[0.9997687]
RAC1,[1],[0.9997596]
KMT2A,[1],[0.9997348]
TG,[1],[0.9997185]
RYR1,[1],[0.9997061]
CASP8,[1],[0.99970406]
TCF7L2,[1],[0.999703]
MUC4,[1],[0.999694]
CHD4,[1],[0.9995945]
LRP1,[1],[0.9995833]
DNAH9,[1],[0.9995672]
SPTAN1,[1],[0.99956673]
SHC1,[1],[0.9995598]
UBB,[1],[0.99955446]
AKAP9,[1],[0.9994854]
MED12,[1],[0.9994466]
STAT4,[1],[0.9994117]
PTPN6,[1],[0.99938977]
AMER1,[1],[0.9993801]
WNT5A,[1],[0.9993722]
PTPN22,[1],[0.99933547]
STAT1,[1],[0.9992879]
PIK3R5,[1],[0.99923575]
PIK3R6,[1],[0.9992312]
PTPN11,[1],[0.99922717]
ERBB4,[1],[0.99920964]
PCDH15,[1],[0.9991047]
PCSK6,[1],[0.99909604]
PDCD1,[1],[0.999032]
ERBB3,[1],[0.99901676]
ATRX,[1],[0.9988657]
PRKACA,[1],[0.99874026]
MTOR,[1],[0.99867034]
IGFBP3,[1],[0.9986576]
UBE2D2,[1],[0.9986571]
DNAH3,[1],[0.99864966]
DNAH11,[1],[0.998412]
JAK1,[1],[0.9983689]
TGFB1,[1],[0.9983499]
THBS2,[1],[0.99822944]
NF1,[1],[0.998126]
PCDHA9,[1],[0.99809045]
UBE2D3,[1],[0.9980154]
YWHAG,[1],[0.9979931]
PLG,[1],[0.99793965]
PRKDC,[1],[0.9979235]
SMARCA4,[1],[0.99789256]
HERC2,[1],[0.9976065]
ERBB2,[1],[0.9975177]
LRRK2,[1],[0.99745375]
OPRM1,[1],[0.997414]
THBS4,[1],[0.9973447]
RB1,[1],[0.997291]
IGF1R,[1],[0.9972363]
TGFA,[1],[0.99720484]
PLEC,[1],[0.9971783]
PTK2,[1],[0.9969664]
YWHAH,[1],[0.99681693]
TBX21,[1],[0.9968162]
HSPG2,[1],[0.99681145]
EEF1A1,[1],[0.9967938]
CDKN2A,[1],[0.9966813]
PTK2B,[1],[0.9966564]
RNF213,[1],[0.99656576]
IL6ST,[1],[0.9965634]
SYCP2,[1],[0.99637634]
NFYC,[1],[0.9963731]
TAF4,[1],[0.9961817]
MMP10,[1],[0.99616915]
TAF3,[1],[0.99616194]
TAF2,[1],[0.9961378]
TGFBR2,[1],[0.9959941]
MYH9,[1],[0.9959927]
